items
"['B', 'C', 'I', 'L', 'M', 'N', 'P']"
"['B', 'C', 'D', 'F', 'L', 'P', 'Q']"
"['A', 'C', 'E', 'H', 'I', 'K', 'P']"
"['B', 'D', 'F', 'G', 'J', 'L', 'M']"
"['A', 'C', 'D', 'H', 'M', 'N', 'Q']"
"['A', 'B', 'C', 'D', 'J', 'P', 'Q']"
"['D', 'G', 'J', 'L', 'N', 'P', 'Q']"
"['C', 'D', 'E', 'G', 'H', 'J', 'P']"
"['D', 'F', 'G', 'L', 'M', 'N', 'Q']"
"['B', 'E', 'G', 'H', 'N', 'O', 'P']"
"['A', 'B', 'D', 'E', 'I', 'P', 'Q']"
"['D', 'E', 'F', 'H', 'I', 'L', 'O']"
"['B', 'E', 'F', 'H', 'K', 'L', 'O']"
"['B', 'D', 'E', 'G', 'K', 'L', 'N']"
"['B', 'F', 'H', 'J', 'K', 'N', 'Q']"
"['C', 'F', 'G', 'H', 'I', 'K', 'M']"
"['E', 'F', 'G', 'H', 'I', 'O', 'P']"
"['A', 'B', 'D', 'G', 'H', 'M', 'N']"
"['I', 'K', 'L', 'M', 'N', 'O', 'P']"
"['G', 'H', 'I', 'J', 'K', 'O', 'Q']"
"['C', 'D', 'G', 'I', 'L', 'M', 'Q']"
"['B', 'F', 'I', 'K', 'N', 'P', 'Q']"
"['B', 'C', 'G', 'L', 'N', 'O', 'Q']"
"['A', 'B', 'D', 'E', 'H', 'I', 'O']"
"['B', 'C', 'H', 'I', 'L', 'M', 'O']"
"['B', 'C', 'D', 'E', 'H', 'P', 'Q']"
"['B', 'C', 'H', 'I', 'L', 'M', 'N']"
"['B', 'F', 'J', 'N', 'O', 'P', 'Q']"
"['A', 'D', 'F', 'G', 'H', 'I', 'K']"
"['A', 'H', 'I', 'J', 'M', 'N', 'O']"
"['A', 'B', 'C', 'G', 'K', 'L', 'N']"
"['A', 'D', 'F', 'G', 'I', 'L', 'P']"
"['B', 'C', 'F', 'J', 'N', 'O', 'P']"
"['C', 'F', 'H', 'L', 'M', 'N', 'O']"
"['A', 'B', 'F', 'G', 'H', 'L', 'O']"
"['A', 'E', 'G', 'I', 'L', 'N', 'O']"
"['B', 'C', 'J', 'K', 'M', 'O', 'Q']"
"['B', 'C', 'G', 'H', 'L', 'M', 'N']"
"['F', 'H', 'I', 'K', 'L', 'N', 'P']"
"['A', 'E', 'F', 'G', 'J', 'K', 'Q']"
"['C', 'H', 'J', 'K', 'L', 'O', 'Q']"
"['A', 'B', 'C', 'G', 'M', 'O', 'Q']"
"['C', 'D', 'H', 'J', 'M', 'O', 'Q']"
"['B', 'F', 'I', 'J', 'L', 'N', 'Q']"
"['E', 'F', 'G', 'H', 'I', 'J', 'Q']"
"['C', 'D', 'E', 'F', 'G', 'K', 'Q']"
"['D', 'E', 'G', 'I', 'K', 'M', 'Q']"
"['F', 'G', 'J', 'L', 'M', 'P', 'Q']"
"['A', 'C', 'D', 'F', 'G', 'J', 'P']"
"['C', 'D', 'G', 'H', 'N', 'O', 'Q']"
"['B', 'E', 'F', 'J', 'K', 'M', 'N']"
"['D', 'E', 'G', 'I', 'M', 'P', 'Q']"
"['B', 'C', 'F', 'H', 'K', 'P', 'Q']"
"['E', 'G', 'I', 'L', 'M', 'O', 'P']"
"['B', 'F', 'L', 'M', 'N', 'P', 'Q']"
"['C', 'E', 'L', 'M', 'O', 'P', 'Q']"
"['A', 'B', 'G', 'I', 'J', 'O', 'P']"
"['D', 'G', 'H', 'I', 'M', 'N', 'P']"
"['C', 'D', 'H', 'J', 'K', 'N', 'P']"
"['A', 'D', 'F', 'G', 'I', 'J', 'L']"
"['B', 'E', 'H', 'I', 'J', 'M', 'O']"
"['C', 'H', 'I', 'K', 'M', 'N', 'Q']"
"['A', 'H', 'I', 'J', 'K', 'M', 'P']"
"['A', 'D', 'E', 'J', 'M', 'P', 'Q']"
"['A', 'E', 'J', 'K', 'N', 'O', 'P']"
"['A', 'C', 'F', 'I', 'K', 'N', 'O']"
"['C', 'E', 'G', 'N', 'O', 'P', 'Q']"
"['D', 'F', 'G', 'H', 'N', 'O', 'Q']"
"['B', 'C', 'E', 'J', 'K', 'O', 'Q']"
"['B', 'C', 'F', 'H', 'M', 'N', 'P']"
"['B', 'C', 'E', 'I', 'J', 'N', 'Q']"
"['A', 'B', 'E', 'J', 'M', 'N', 'O']"
"['A', 'B', 'C', 'E', 'J', 'L', 'M']"
"['H', 'J', 'K', 'L', 'M', 'N', 'Q']"
"['B', 'E', 'H', 'I', 'K', 'L', 'P']"
"['D', 'F', 'H', 'I', 'J', 'K', 'L']"
"['A', 'C', 'D', 'I', 'J', 'K', 'Q']"
"['B', 'C', 'I', 'L', 'N', 'P', 'Q']"
"['C', 'D', 'G', 'J', 'K', 'L', 'N']"
"['A', 'B', 'D', 'E', 'M', 'P', 'Q']"
"['A', 'D', 'E', 'H', 'J', 'K', 'O']"
"['B', 'D', 'G', 'H', 'K', 'O', 'P']"
"['C', 'D', 'F', 'H', 'I', 'N', 'O']"
"['C', 'D', 'E', 'H', 'K', 'M', 'N']"
"['B', 'G', 'J', 'M', 'N', 'O', 'P']"
"['A', 'F', 'G', 'I', 'M', 'O', 'P']"
"['B', 'D', 'F', 'H', 'K', 'O', 'P']"
"['C', 'E', 'F', 'L', 'O', 'P', 'Q']"
"['A', 'D', 'E', 'J', 'K', 'L', 'P']"
"['C', 'D', 'E', 'G', 'H', 'P', 'Q']"
"['B', 'C', 'F', 'I', 'L', 'O', 'Q']"
"['C', 'D', 'E', 'F', 'G', 'M', 'Q']"
"['C', 'E', 'F', 'H', 'I', 'M', 'O']"
"['B', 'C', 'D', 'E', 'I', 'M', 'O']"
"['A', 'C', 'D', 'E', 'G', 'P', 'Q']"
"['A', 'C', 'D', 'F', 'G', 'J', 'Q']"
"['A', 'B', 'C', 'J', 'L', 'O', 'P']"
"['B', 'C', 'D', 'F', 'M', 'N', 'Q']"
"['A', 'C', 'H', 'L', 'M', 'N', 'Q']"
"['A', 'C', 'G', 'L', 'M', 'O', 'P']"
"['D', 'F', 'I', 'L', 'M', 'N', 'P']"
"['A', 'B', 'D', 'E', 'F', 'H', 'L']"
"['B', 'D', 'F', 'I', 'J', 'K', 'L']"
"['A', 'G', 'I', 'L', 'M', 'N', 'P']"
"['B', 'F', 'I', 'J', 'L', 'N', 'P']"
"['A', 'H', 'I', 'K', 'M', 'O', 'Q']"
"['A', 'B', 'C', 'I', 'M', 'N', 'P']"
"['B', 'D', 'G', 'I', 'M', 'N', 'Q']"
"['H', 'J', 'K', 'L', 'N', 'O', 'Q']"
"['A', 'B', 'E', 'G', 'J', 'O', 'P']"
"['B', 'F', 'G', 'H', 'I', 'L', 'O']"
"['A', 'D', 'E', 'F', 'J', 'K', 'Q']"
"['A', 'C', 'G', 'H', 'J', 'L', 'N']"
"['A', 'C', 'E', 'F', 'I', 'J', 'M']"
"['A', 'B', 'C', 'D', 'E', 'M', 'P']"
"['A', 'D', 'G', 'H', 'I', 'M', 'N']"
"['B', 'E', 'H', 'I', 'K', 'O', 'Q']"
"['B', 'C', 'D', 'F', 'G', 'N', 'P']"
"['E', 'I', 'J', 'K', 'M', 'P', 'Q']"
"['A', 'C', 'F', 'I', 'K', 'N', 'Q']"
"['D', 'G', 'H', 'J', 'K', 'L', 'N']"
"['E', 'F', 'I', 'J', 'O', 'P', 'Q']"
"['D', 'E', 'H', 'L', 'M', 'P', 'Q']"
"['G', 'H', 'I', 'J', 'L', 'O', 'P']"
"['B', 'C', 'H', 'K', 'L', 'N', 'P']"
"['A', 'B', 'E', 'J', 'M', 'P', 'Q']"
"['C', 'D', 'G', 'K', 'L', 'M', 'O']"
"['C', 'E', 'G', 'L', 'N', 'O', 'Q']"
"['A', 'B', 'E', 'G', 'I', 'M', 'O']"
"['B', 'F', 'H', 'J', 'L', 'M', 'O']"
"['A', 'B', 'C', 'F', 'I', 'N', 'P']"
"['A', 'C', 'F', 'J', 'L', 'M', 'P']"
"['B', 'D', 'E', 'G', 'I', 'K', 'N']"
"['A', 'B', 'D', 'I', 'M', 'N', 'O']"
"['A', 'B', 'F', 'H', 'L', 'O', 'Q']"
"['B', 'D', 'F', 'H', 'J', 'L', 'P']"
"['C', 'D', 'F', 'J', 'L', 'N', 'Q']"
"['B', 'F', 'G', 'I', 'L', 'M', 'N']"
"['A', 'H', 'I', 'K', 'M', 'N', 'Q']"
"['D', 'E', 'G', 'H', 'J', 'N', 'Q']"
"['B', 'E', 'H', 'I', 'K', 'L', 'Q']"
"['A', 'I', 'K', 'L', 'N', 'O', 'Q']"
"['B', 'C', 'D', 'F', 'I', 'L', 'M']"
"['A', 'C', 'F', 'G', 'L', 'O', 'P']"
"['A', 'H', 'I', 'L', 'O', 'P', 'Q']"
"['B', 'C', 'D', 'G', 'L', 'P', 'Q']"
"['B', 'E', 'H', 'I', 'K', 'M', 'O']"
"['B', 'C', 'D', 'F', 'G', 'J', 'Q']"
"['A', 'C', 'I', 'K', 'N', 'O', 'Q']"
"['B', 'E', 'G', 'I', 'J', 'K', 'M']"
"['A', 'D', 'H', 'M', 'N', 'P', 'Q']"
"['B', 'D', 'G', 'H', 'I', 'M', 'N']"
"['A', 'B', 'C', 'F', 'M', 'P', 'Q']"
"['A', 'B', 'D', 'J', 'M', 'N', 'P']"
"['F', 'G', 'H', 'I', 'K', 'N', 'Q']"
"['A', 'B', 'C', 'K', 'L', 'M', 'P']"
"['B', 'E', 'F', 'I', 'L', 'N', 'P']"
"['A', 'B', 'E', 'F', 'K', 'O', 'P']"
"['B', 'F', 'G', 'K', 'L', 'N', 'O']"
"['D', 'E', 'H', 'J', 'K', 'M', 'N']"
"['C', 'D', 'H', 'J', 'M', 'N', 'Q']"
"['B', 'D', 'G', 'L', 'M', 'O', 'Q']"
"['D', 'E', 'G', 'I', 'K', 'L', 'M']"
"['A', 'C', 'E', 'F', 'I', 'N', 'O']"
"['A', 'B', 'F', 'M', 'O', 'P', 'Q']"
"['H', 'K', 'L', 'M', 'N', 'O', 'P']"
"['D', 'E', 'J', 'K', 'L', 'M', 'N']"
"['C', 'D', 'H', 'J', 'K', 'N', 'O']"
"['A', 'E', 'G', 'H', 'K', 'L', 'P']"
"['A', 'E', 'F', 'G', 'J', 'O', 'Q']"
"['A', 'D', 'I', 'L', 'M', 'O', 'P']"
"['G', 'H', 'K', 'L', 'O', 'P', 'Q']"
"['C', 'F', 'I', 'J', 'M', 'O', 'Q']"
"['B', 'J', 'L', 'N', 'O', 'P', 'Q']"
"['A', 'C', 'E', 'F', 'G', 'M', 'N']"
"['D', 'F', 'J', 'K', 'M', 'N', 'P']"
"['A', 'C', 'G', 'H', 'I', 'M', 'N']"
"['A', 'B', 'D', 'K', 'L', 'O', 'P']"
"['A', 'B', 'D', 'J', 'N', 'O', 'Q']"
"['A', 'B', 'D', 'E', 'H', 'I', 'M']"
"['A', 'D', 'G', 'H', 'K', 'N', 'Q']"
"['B', 'G', 'H', 'I', 'J', 'M', 'Q']"
"['A', 'H', 'J', 'K', 'M', 'P', 'Q']"
"['A', 'B', 'E', 'G', 'L', 'M', 'N']"
"['H', 'J', 'K', 'L', 'O', 'P', 'Q']"
"['A', 'B', 'G', 'H', 'I', 'J', 'M']"
"['A', 'B', 'D', 'I', 'L', 'N', 'P']"
"['A', 'C', 'D', 'M', 'N', 'O', 'Q']"
"['B', 'C', 'E', 'F', 'N', 'O', 'P']"
"['B', 'C', 'D', 'I', 'L', 'O', 'Q']"
"['A', 'C', 'D', 'G', 'N', 'O', 'Q']"
"['A', 'B', 'C', 'E', 'F', 'H', 'N']"
"['C', 'F', 'H', 'I', 'J', 'L', 'Q']"
"['B', 'D', 'E', 'F', 'I', 'K', 'N']"
"['D', 'E', 'F', 'I', 'J', 'L', 'M']"
"['H', 'K', 'L', 'M', 'N', 'P', 'Q']"
"['A', 'C', 'D', 'H', 'M', 'N', 'O']"
"['B', 'F', 'G', 'L', 'M', 'N', 'Q']"
"['C', 'E', 'G', 'I', 'M', 'N', 'Q']"
"['A', 'B', 'C', 'E', 'F', 'L', 'O']"
"['A', 'C', 'F', 'H', 'M', 'P', 'Q']"
"['B', 'C', 'E', 'G', 'H', 'I', 'J']"
"['F', 'G', 'H', 'I', 'J', 'N', 'Q']"
"['A', 'C', 'F', 'G', 'L', 'N', 'O']"
"['B', 'D', 'G', 'I', 'J', 'M', 'O']"
"['A', 'C', 'D', 'F', 'K', 'L', 'Q']"
"['C', 'E', 'K', 'L', 'M', 'O', 'P']"
"['C', 'F', 'H', 'J', 'K', 'M', 'Q']"
"['B', 'D', 'F', 'H', 'K', 'L', 'M']"
"['A', 'B', 'H', 'I', 'K', 'P', 'Q']"
"['E', 'F', 'G', 'H', 'K', 'O', 'P']"
"['B', 'D', 'E', 'H', 'L', 'M', 'O']"
"['B', 'E', 'F', 'H', 'N', 'P', 'Q']"
"['H', 'I', 'K', 'L', 'M', 'N', 'O']"
"['B', 'D', 'E', 'G', 'H', 'L', 'P']"
"['A', 'B', 'D', 'E', 'G', 'K', 'P']"
"['A', 'C', 'E', 'F', 'I', 'O', 'Q']"
"['I', 'J', 'L', 'M', 'N', 'P', 'Q']"
"['A', 'C', 'E', 'G', 'M', 'P', 'Q']"
"['C', 'D', 'E', 'H', 'K', 'O', 'Q']"
"['A', 'I', 'J', 'K', 'N', 'P', 'Q']"
"['E', 'F', 'K', 'M', 'N', 'P', 'Q']"
"['A', 'F', 'G', 'I', 'J', 'L', 'M']"
"['A', 'B', 'G', 'H', 'J', 'L', 'M']"
"['B', 'E', 'K', 'M', 'N', 'O', 'Q']"
"['C', 'F', 'G', 'I', 'M', 'O', 'Q']"
"['B', 'C', 'D', 'E', 'K', 'M', 'N']"
"['C', 'E', 'F', 'I', 'M', 'N', 'P']"
"['B', 'C', 'F', 'H', 'J', 'K', 'P']"
"['B', 'H', 'I', 'K', 'L', 'M', 'P']"
"['C', 'E', 'H', 'I', 'K', 'O', 'Q']"
"['A', 'B', 'E', 'F', 'G', 'I', 'J']"
"['A', 'D', 'J', 'K', 'L', 'O', 'P']"
"['E', 'F', 'H', 'J', 'L', 'N', 'O']"
"['A', 'C', 'D', 'H', 'J', 'O', 'Q']"
"['C', 'D', 'H', 'J', 'L', 'P', 'Q']"
"['B', 'C', 'D', 'E', 'G', 'H', 'I']"
"['B', 'C', 'H', 'J', 'M', 'P', 'Q']"
"['A', 'D', 'E', 'G', 'I', 'M', 'O']"
"['D', 'F', 'G', 'H', 'K', 'M', 'Q']"
"['A', 'B', 'H', 'J', 'L', 'O', 'Q']"
"['E', 'F', 'H', 'I', 'K', 'M', 'P']"
"['C', 'G', 'H', 'I', 'J', 'L', 'N']"
"['C', 'D', 'F', 'H', 'J', 'K', 'L']"
"['A', 'C', 'D', 'G', 'J', 'O', 'Q']"
"['A', 'C', 'E', 'G', 'H', 'J', 'K']"
"['A', 'D', 'E', 'G', 'M', 'N', 'P']"
"['A', 'C', 'I', 'J', 'K', 'O', 'Q']"
"['A', 'E', 'F', 'G', 'I', 'K', 'N']"
"['B', 'D', 'E', 'K', 'L', 'N', 'O']"
"['A', 'I', 'J', 'K', 'L', 'N', 'Q']"
"['A', 'C', 'E', 'F', 'I', 'J', 'Q']"
"['B', 'C', 'F', 'H', 'I', 'J', 'O']"
"['B', 'E', 'G', 'J', 'M', 'P', 'Q']"
"['B', 'E', 'F', 'H', 'I', 'L', 'M']"
"['A', 'C', 'D', 'E', 'H', 'L', 'P']"
"['C', 'D', 'G', 'J', 'K', 'L', 'P']"
"['D', 'G', 'H', 'I', 'L', 'M', 'O']"
"['A', 'E', 'F', 'J', 'K', 'O', 'P']"
"['C', 'D', 'F', 'G', 'K', 'L', 'O']"
"['A', 'E', 'F', 'G', 'I', 'N', 'O']"
"['A', 'E', 'G', 'H', 'K', 'L', 'O']"
"['B', 'D', 'F', 'G', 'O', 'P', 'Q']"
"['A', 'B', 'D', 'I', 'L', 'M', 'Q']"
"['A', 'B', 'G', 'K', 'L', 'M', 'O']"
"['B', 'I', 'J', 'K', 'O', 'P', 'Q']"
"['D', 'E', 'G', 'I', 'J', 'K', 'L']"
"['B', 'F', 'G', 'H', 'J', 'M', 'N']"
"['B', 'D', 'F', 'G', 'I', 'K', 'N']"
"['E', 'F', 'I', 'K', 'L', 'O', 'Q']"
"['A', 'B', 'D', 'G', 'H', 'M', 'O']"
"['F', 'H', 'J', 'L', 'N', 'O', 'P']"
"['A', 'B', 'I', 'J', 'K', 'N', 'P']"
"['D', 'E', 'F', 'G', 'H', 'M', 'P']"
"['A', 'C', 'D', 'E', 'I', 'J', 'K']"
"['B', 'C', 'E', 'K', 'L', 'P', 'Q']"
"['A', 'C', 'D', 'E', 'J', 'K', 'M']"
"['A', 'D', 'I', 'M', 'N', 'O', 'Q']"
"['E', 'G', 'H', 'I', 'L', 'M', 'O']"
"['A', 'E', 'H', 'I', 'J', 'K', 'M']"
"['C', 'G', 'I', 'N', 'O', 'P', 'Q']"
"['B', 'C', 'G', 'K', 'M', 'N', 'P']"
"['B', 'E', 'G', 'J', 'K', 'O', 'Q']"
"['A', 'H', 'K', 'L', 'M', 'O', 'P']"
"['A', 'G', 'H', 'J', 'L', 'N', 'O']"
"['D', 'F', 'I', 'J', 'K', 'N', 'O']"
"['A', 'D', 'F', 'K', 'L', 'M', 'Q']"
"['A', 'C', 'F', 'H', 'K', 'M', 'O']"
"['A', 'B', 'E', 'F', 'H', 'L', 'Q']"
"['A', 'G', 'H', 'I', 'K', 'L', 'O']"
"['F', 'H', 'I', 'L', 'N', 'O', 'Q']"
"['D', 'H', 'I', 'K', 'L', 'N', 'P']"
"['E', 'F', 'H', 'M', 'N', 'P', 'Q']"
"['E', 'F', 'G', 'L', 'N', 'O', 'P']"
"['A', 'B', 'C', 'F', 'I', 'K', 'L']"
"['C', 'F', 'J', 'K', 'M', 'N', 'Q']"
"['F', 'I', 'L', 'N', 'O', 'P', 'Q']"
"['D', 'I', 'J', 'K', 'M', 'O', 'P']"
"['B', 'E', 'F', 'I', 'J', 'O', 'Q']"
"['B', 'C', 'F', 'G', 'I', 'L', 'N']"
"['A', 'F', 'G', 'I', 'K', 'P', 'Q']"
"['B', 'C', 'E', 'F', 'I', 'L', 'P']"
"['C', 'G', 'L', 'M', 'N', 'O', 'P']"
"['A', 'D', 'G', 'K', 'L', 'N', 'P']"
"['E', 'F', 'I', 'M', 'N', 'P', 'Q']"
"['A', 'D', 'F', 'H', 'K', 'N', 'Q']"
"['B', 'D', 'G', 'H', 'N', 'O', 'P']"
"['E', 'F', 'G', 'I', 'K', 'L', 'M']"
"['D', 'J', 'L', 'M', 'N', 'P', 'Q']"
"['A', 'C', 'D', 'G', 'I', 'N', 'P']"
"['D', 'E', 'G', 'K', 'N', 'P', 'Q']"
"['A', 'C', 'D', 'I', 'L', 'P', 'Q']"
"['C', 'D', 'H', 'K', 'L', 'N', 'O']"
"['A', 'C', 'D', 'F', 'G', 'N', 'P']"
"['B', 'D', 'F', 'I', 'M', 'O', 'Q']"
"['E', 'F', 'G', 'K', 'L', 'M', 'Q']"
"['B', 'C', 'F', 'I', 'J', 'O', 'P']"
"['A', 'B', 'C', 'D', 'J', 'K', 'O']"
"['B', 'E', 'H', 'J', 'K', 'M', 'P']"
"['C', 'D', 'F', 'G', 'I', 'J', 'P']"
"['C', 'F', 'H', 'I', 'M', 'O', 'Q']"
"['C', 'I', 'J', 'K', 'N', 'O', 'P']"
"['B', 'E', 'F', 'I', 'M', 'N', 'O']"
"['E', 'F', 'I', 'L', 'M', 'N', 'O']"
"['A', 'C', 'D', 'G', 'H', 'J', 'M']"
"['A', 'D', 'E', 'H', 'M', 'N', 'Q']"
"['A', 'D', 'E', 'I', 'N', 'P', 'Q']"
"['E', 'I', 'L', 'N', 'O', 'P', 'Q']"
"['B', 'D', 'E', 'H', 'I', 'M', 'O']"
"['D', 'E', 'F', 'G', 'J', 'L', 'Q']"
"['B', 'C', 'G', 'J', 'K', 'P', 'Q']"
"['A', 'B', 'D', 'E', 'G', 'H', 'I']"
"['A', 'D', 'F', 'G', 'I', 'K', 'P']"
"['D', 'E', 'H', 'K', 'M', 'N', 'Q']"
"['A', 'G', 'I', 'J', 'K', 'L', 'N']"
"['B', 'C', 'D', 'K', 'L', 'M', 'Q']"
"['A', 'D', 'G', 'J', 'K', 'N', 'O']"
"['A', 'B', 'D', 'M', 'N', 'O', 'Q']"
"['C', 'F', 'I', 'J', 'M', 'O', 'P']"
"['B', 'E', 'K', 'L', 'N', 'O', 'Q']"
"['A', 'B', 'G', 'H', 'J', 'N', 'Q']"
"['C', 'E', 'J', 'M', 'N', 'P', 'Q']"
"['C', 'E', 'I', 'J', 'M', 'N', 'O']"
"['A', 'B', 'I', 'J', 'K', 'L', 'Q']"
"['B', 'D', 'E', 'H', 'J', 'N', 'P']"
"['C', 'D', 'F', 'G', 'I', 'K', 'O']"
"['A', 'G', 'H', 'J', 'N', 'O', 'Q']"
"['B', 'F', 'G', 'M', 'N', 'O', 'P']"
"['A', 'D', 'F', 'H', 'L', 'O', 'P']"
"['C', 'F', 'H', 'I', 'K', 'M', 'P']"
"['A', 'C', 'D', 'G', 'M', 'O', 'P']"
"['A', 'D', 'G', 'I', 'K', 'P', 'Q']"
"['E', 'F', 'G', 'I', 'J', 'K', 'M']"
"['B', 'E', 'F', 'G', 'L', 'O', 'P']"
"['A', 'B', 'D', 'F', 'H', 'L', 'Q']"
"['B', 'F', 'I', 'L', 'M', 'O', 'P']"
"['A', 'B', 'C', 'G', 'J', 'M', 'O']"
"['A', 'B', 'C', 'E', 'M', 'N', 'P']"
"['B', 'C', 'D', 'E', 'H', 'I', 'J']"
"['G', 'H', 'J', 'L', 'M', 'N', 'Q']"
"['A', 'B', 'D', 'F', 'J', 'K', 'L']"
"['B', 'C', 'D', 'G', 'J', 'L', 'Q']"
"['A', 'B', 'C', 'G', 'J', 'L', 'M']"
"['D', 'G', 'H', 'J', 'L', 'N', 'Q']"
"['D', 'F', 'H', 'I', 'J', 'K', 'N']"
"['C', 'E', 'G', 'H', 'K', 'M', 'Q']"
"['B', 'F', 'G', 'K', 'L', 'N', 'Q']"
"['A', 'D', 'H', 'J', 'N', 'O', 'P']"
"['B', 'D', 'H', 'J', 'K', 'L', 'O']"
"['B', 'D', 'E', 'I', 'N', 'O', 'Q']"
"['A', 'B', 'C', 'E', 'F', 'K', 'Q']"
"['A', 'D', 'H', 'J', 'K', 'M', 'P']"
"['A', 'D', 'E', 'F', 'M', 'O', 'P']"
"['C', 'E', 'F', 'G', 'L', 'P', 'Q']"
"['A', 'B', 'E', 'F', 'L', 'O', 'Q']"
"['A', 'K', 'L', 'M', 'N', 'O', 'P']"
"['B', 'C', 'F', 'G', 'J', 'M', 'O']"
"['A', 'B', 'C', 'E', 'F', 'I', 'L']"
"['A', 'B', 'C', 'D', 'H', 'I', 'K']"
"['D', 'F', 'G', 'J', 'K', 'L', 'N']"
"['B', 'D', 'E', 'G', 'K', 'O', 'P']"
"['A', 'B', 'C', 'E', 'F', 'M', 'O']"
"['C', 'D', 'G', 'K', 'M', 'O', 'Q']"
"['B', 'C', 'D', 'F', 'G', 'J', 'M']"
"['A', 'B', 'E', 'F', 'G', 'J', 'P']"
"['B', 'C', 'D', 'E', 'I', 'K', 'Q']"
"['B', 'C', 'E', 'H', 'J', 'N', 'P']"
"['A', 'C', 'G', 'I', 'L', 'N', 'Q']"
"['A', 'D', 'H', 'I', 'J', 'P', 'Q']"
"['B', 'D', 'I', 'J', 'L', 'M', 'Q']"
"['B', 'E', 'H', 'K', 'M', 'P', 'Q']"
"['B', 'C', 'F', 'J', 'K', 'P', 'Q']"
"['B', 'C', 'F', 'G', 'J', 'K', 'O']"
"['A', 'D', 'E', 'G', 'I', 'L', 'P']"
"['A', 'B', 'G', 'I', 'J', 'M', 'N']"
"['A', 'C', 'G', 'H', 'K', 'M', 'O']"
"['B', 'F', 'M', 'N', 'O', 'P', 'Q']"
"['B', 'D', 'H', 'M', 'N', 'O', 'P']"
"['A', 'C', 'E', 'F', 'H', 'J', 'M']"
"['C', 'D', 'E', 'G', 'H', 'L', 'Q']"
"['B', 'G', 'I', 'L', 'M', 'N', 'O']"
"['A', 'B', 'E', 'J', 'K', 'M', 'Q']"
"['B', 'D', 'F', 'G', 'I', 'M', 'N']"
"['C', 'D', 'F', 'G', 'M', 'N', 'Q']"
"['D', 'F', 'H', 'J', 'M', 'N', 'Q']"
"['C', 'G', 'K', 'L', 'M', 'N', 'Q']"
"['A', 'B', 'C', 'D', 'J', 'N', 'O']"
"['D', 'E', 'G', 'I', 'L', 'N', 'Q']"
"['A', 'B', 'D', 'E', 'N', 'O', 'P']"
"['A', 'F', 'G', 'H', 'M', 'N', 'P']"
"['B', 'H', 'I', 'K', 'L', 'N', 'O']"
"['A', 'E', 'F', 'G', 'I', 'K', 'M']"
"['B', 'C', 'D', 'E', 'F', 'H', 'Q']"
"['A', 'C', 'F', 'G', 'J', 'K', 'L']"
"['C', 'D', 'E', 'G', 'L', 'N', 'P']"
"['B', 'C', 'D', 'H', 'L', 'M', 'N']"
"['B', 'D', 'E', 'F', 'H', 'J', 'Q']"
"['D', 'E', 'J', 'K', 'N', 'O', 'P']"
"['A', 'C', 'D', 'F', 'H', 'I', 'Q']"
"['B', 'E', 'H', 'I', 'L', 'N', 'Q']"
"['B', 'D', 'H', 'I', 'J', 'M', 'P']"
"['A', 'C', 'D', 'E', 'F', 'G', 'N']"
"['B', 'D', 'F', 'L', 'N', 'O', 'P']"
"['B', 'D', 'F', 'G', 'L', 'N', 'Q']"
"['D', 'E', 'F', 'I', 'K', 'M', 'Q']"
"['A', 'H', 'I', 'M', 'O', 'P', 'Q']"
"['A', 'C', 'D', 'F', 'I', 'K', 'L']"
"['A', 'D', 'E', 'G', 'L', 'M', 'O']"
"['B', 'H', 'I', 'L', 'N', 'O', 'P']"
"['C', 'E', 'G', 'H', 'J', 'N', 'O']"
"['B', 'D', 'E', 'F', 'K', 'L', 'N']"
"['A', 'C', 'I', 'L', 'M', 'N', 'P']"
"['A', 'D', 'F', 'H', 'K', 'O', 'Q']"
"['B', 'D', 'E', 'F', 'I', 'K', 'Q']"
"['A', 'C', 'D', 'F', 'H', 'L', 'Q']"
"['A', 'D', 'F', 'H', 'K', 'L', 'P']"
"['A', 'B', 'D', 'G', 'J', 'M', 'N']"
"['C', 'F', 'K', 'L', 'M', 'O', 'Q']"
"['B', 'C', 'D', 'H', 'J', 'N', 'O']"
"['D', 'G', 'H', 'K', 'M', 'N', 'P']"
"['D', 'F', 'I', 'M', 'O', 'P', 'Q']"
"['A', 'C', 'F', 'I', 'J', 'M', 'P']"
"['B', 'C', 'D', 'E', 'L', 'M', 'P']"
"['B', 'F', 'G', 'H', 'K', 'M', 'P']"
"['A', 'B', 'C', 'F', 'K', 'L', 'Q']"
"['A', 'B', 'H', 'I', 'K', 'M', 'P']"
"['B', 'C', 'H', 'L', 'N', 'O', 'P']"
"['A', 'D', 'G', 'J', 'K', 'P', 'Q']"
"['A', 'B', 'C', 'D', 'E', 'M', 'O']"
"['A', 'D', 'E', 'F', 'L', 'P', 'Q']"
"['C', 'G', 'H', 'I', 'J', 'L', 'Q']"
"['E', 'F', 'H', 'K', 'L', 'M', 'Q']"
"['A', 'D', 'E', 'F', 'H', 'J', 'L']"
"['B', 'E', 'F', 'H', 'I', 'L', 'N']"
"['A', 'B', 'C', 'H', 'M', 'O', 'P']"
"['B', 'C', 'D', 'F', 'J', 'L', 'M']"
"['A', 'E', 'F', 'K', 'M', 'N', 'Q']"
"['A', 'C', 'J', 'L', 'N', 'O', 'P']"
"['A', 'D', 'E', 'F', 'H', 'M', 'Q']"
"['A', 'B', 'I', 'J', 'L', 'M', 'P']"
