items
"['B', 'D', 'F', 'I', 'K', 'N']"
"['A', 'B', 'I', 'K', 'N', 'O']"
"['E', 'I', 'J', 'K', 'O', 'P']"
"['A', 'B', 'C', 'F', 'H', 'N']"
"['A', 'B', 'D', 'I', 'J', 'O']"
"['D', 'E', 'I', 'K', 'O', 'P']"
"['B', 'C', 'M', 'N', 'O', 'P']"
"['A', 'F', 'H', 'K', 'M', 'P']"
"['A', 'B', 'G', 'L', 'N', 'P']"
"['B', 'C', 'G', 'H', 'I', 'J']"
"['A', 'C', 'E', 'F', 'J', 'K']"
"['A', 'E', 'F', 'L', 'M', 'N']"
"['A', 'D', 'H', 'I', 'O', 'P']"
"['C', 'H', 'J', 'M', 'P', 'Q']"
"['A', 'B', 'F', 'N', 'O', 'P']"
"['C', 'D', 'E', 'F', 'I', 'J']"
"['A', 'B', 'C', 'H', 'I', 'O']"
"['A', 'B', 'C', 'E', 'J', 'K']"
"['A', 'D', 'K', 'M', 'N', 'O']"
"['C', 'D', 'E', 'L', 'O', 'Q']"
"['D', 'E', 'H', 'J', 'M', 'Q']"
"['A', 'B', 'F', 'M', 'O', 'Q']"
"['A', 'B', 'H', 'I', 'K', 'M']"
"['C', 'D', 'G', 'K', 'P', 'Q']"
"['F', 'G', 'H', 'J', 'M', 'P']"
"['E', 'F', 'G', 'H', 'M', 'N']"
"['D', 'I', 'J', 'L', 'N', 'O']"
"['B', 'C', 'E', 'G', 'I', 'M']"
"['E', 'G', 'H', 'I', 'J', 'Q']"
"['B', 'C', 'D', 'K', 'N', 'P']"
"['G', 'M', 'N', 'O', 'P', 'Q']"
"['A', 'C', 'G', 'H', 'I', 'O']"
"['B', 'C', 'E', 'I', 'K', 'M']"
"['G', 'H', 'J', 'L', 'M', 'O']"
"['B', 'D', 'E', 'K', 'O', 'Q']"
"['C', 'F', 'H', 'M', 'N', 'O']"
"['C', 'E', 'H', 'J', 'K', 'M']"
"['A', 'D', 'F', 'L', 'M', 'N']"
"['B', 'G', 'I', 'N', 'O', 'Q']"
"['A', 'B', 'D', 'E', 'H', 'P']"
"['E', 'F', 'H', 'I', 'J', 'Q']"
"['C', 'G', 'I', 'J', 'K', 'L']"
"['B', 'C', 'F', 'G', 'I', 'Q']"
"['B', 'D', 'G', 'M', 'N', 'Q']"
"['C', 'D', 'G', 'J', 'N', 'P']"
"['E', 'F', 'G', 'I', 'J', 'N']"
"['C', 'E', 'G', 'I', 'J', 'N']"
"['F', 'G', 'J', 'M', 'N', 'Q']"
"['E', 'F', 'G', 'N', 'O', 'Q']"
"['B', 'D', 'E', 'I', 'J', 'M']"
"['D', 'G', 'H', 'K', 'M', 'Q']"
"['A', 'C', 'J', 'M', 'N', 'Q']"
"['A', 'D', 'E', 'F', 'I', 'O']"
"['C', 'F', 'H', 'I', 'K', 'P']"
"['C', 'D', 'H', 'K', 'N', 'P']"
"['I', 'J', 'K', 'L', 'M', 'O']"
"['A', 'B', 'C', 'F', 'P', 'Q']"
"['A', 'C', 'G', 'H', 'M', 'Q']"
"['A', 'C', 'I', 'K', 'M', 'P']"
"['A', 'B', 'D', 'E', 'K', 'P']"
"['B', 'H', 'I', 'J', 'L', 'N']"
"['C', 'D', 'H', 'I', 'K', 'N']"
"['A', 'C', 'F', 'G', 'I', 'P']"
"['D', 'F', 'G', 'N', 'O', 'P']"
"['A', 'B', 'E', 'G', 'I', 'O']"
"['B', 'D', 'H', 'J', 'N', 'O']"
"['A', 'B', 'D', 'E', 'M', 'N']"
"['A', 'B', 'K', 'L', 'P', 'Q']"
"['A', 'E', 'F', 'G', 'M', 'N']"
"['G', 'H', 'I', 'K', 'L', 'O']"
"['D', 'F', 'H', 'I', 'M', 'N']"
"['D', 'E', 'K', 'L', 'M', 'O']"
"['A', 'C', 'G', 'J', 'N', 'Q']"
"['C', 'E', 'F', 'M', 'N', 'P']"
"['B', 'C', 'D', 'K', 'P', 'Q']"
"['E', 'F', 'G', 'L', 'M', 'P']"
"['E', 'G', 'K', 'L', 'N', 'P']"
"['A', 'B', 'K', 'L', 'M', 'Q']"
"['C', 'D', 'I', 'N', 'P', 'Q']"
"['A', 'C', 'E', 'N', 'O', 'Q']"
"['B', 'D', 'H', 'I', 'K', 'O']"
"['C', 'D', 'J', 'K', 'M', 'N']"
"['B', 'G', 'K', 'O', 'P', 'Q']"
"['B', 'I', 'J', 'K', 'P', 'Q']"
"['A', 'E', 'L', 'N', 'O', 'Q']"
"['A', 'B', 'C', 'F', 'N', 'Q']"
"['A', 'F', 'H', 'O', 'P', 'Q']"
"['E', 'G', 'K', 'M', 'N', 'Q']"
"['A', 'C', 'D', 'E', 'J', 'M']"
"['E', 'G', 'H', 'L', 'O', 'P']"
"['C', 'F', 'K', 'L', 'O', 'P']"
"['B', 'D', 'E', 'G', 'I', 'M']"
"['C', 'D', 'K', 'M', 'N', 'O']"
"['C', 'I', 'J', 'L', 'M', 'Q']"
"['A', 'B', 'G', 'H', 'P', 'Q']"
"['A', 'B', 'C', 'D', 'E', 'I']"
"['A', 'B', 'C', 'H', 'L', 'M']"
"['B', 'E', 'F', 'G', 'K', 'Q']"
"['A', 'F', 'G', 'J', 'N', 'P']"
"['E', 'J', 'K', 'M', 'N', 'O']"
"['B', 'D', 'E', 'H', 'L', 'Q']"
"['A', 'J', 'L', 'M', 'N', 'P']"
"['A', 'C', 'D', 'J', 'K', 'O']"
"['D', 'F', 'I', 'J', 'O', 'P']"
"['A', 'B', 'C', 'G', 'N', 'P']"
"['C', 'E', 'G', 'H', 'K', 'P']"
"['A', 'C', 'E', 'H', 'K', 'O']"
"['D', 'G', 'I', 'K', 'O', 'Q']"
"['A', 'E', 'G', 'H', 'N', 'Q']"
"['A', 'B', 'E', 'G', 'P', 'Q']"
"['B', 'D', 'G', 'J', 'M', 'O']"
"['E', 'H', 'L', 'O', 'P', 'Q']"
"['B', 'D', 'F', 'J', 'L', 'M']"
"['A', 'C', 'H', 'J', 'L', 'M']"
"['D', 'G', 'I', 'L', 'M', 'Q']"
"['A', 'F', 'H', 'J', 'K', 'P']"
"['B', 'L', 'M', 'N', 'P', 'Q']"
"['B', 'D', 'K', 'L', 'M', 'P']"
"['B', 'C', 'K', 'L', 'M', 'Q']"
"['A', 'B', 'F', 'H', 'J', 'O']"
"['E', 'H', 'I', 'K', 'M', 'Q']"
"['A', 'K', 'L', 'N', 'O', 'Q']"
"['A', 'D', 'M', 'N', 'P', 'Q']"
"['A', 'D', 'F', 'M', 'N', 'P']"
"['C', 'D', 'F', 'G', 'K', 'P']"
"['A', 'H', 'J', 'K', 'O', 'Q']"
"['A', 'F', 'J', 'M', 'N', 'Q']"
"['B', 'E', 'F', 'H', 'K', 'O']"
"['B', 'C', 'I', 'L', 'O', 'P']"
"['G', 'H', 'I', 'J', 'L', 'P']"
"['A', 'B', 'E', 'F', 'N', 'P']"
"['A', 'E', 'F', 'G', 'K', 'Q']"
"['C', 'G', 'H', 'L', 'M', 'Q']"
"['A', 'C', 'D', 'F', 'G', 'L']"
"['B', 'C', 'E', 'G', 'H', 'M']"
"['C', 'D', 'I', 'J', 'K', 'M']"
"['D', 'E', 'F', 'H', 'K', 'N']"
"['B', 'C', 'D', 'F', 'K', 'O']"
"['B', 'D', 'E', 'K', 'M', 'O']"
"['E', 'G', 'I', 'M', 'O', 'P']"
"['D', 'E', 'H', 'I', 'J', 'L']"
"['G', 'I', 'K', 'L', 'N', 'O']"
"['C', 'D', 'E', 'J', 'O', 'Q']"
"['G', 'I', 'J', 'K', 'P', 'Q']"
"['A', 'B', 'D', 'E', 'I', 'M']"
"['A', 'H', 'I', 'J', 'M', 'P']"
"['B', 'C', 'F', 'G', 'J', 'L']"
"['D', 'F', 'I', 'M', 'O', 'Q']"
"['A', 'H', 'I', 'J', 'M', 'O']"
"['B', 'C', 'D', 'G', 'I', 'L']"
"['A', 'D', 'E', 'K', 'N', 'P']"
"['A', 'C', 'F', 'M', 'N', 'O']"
"['B', 'D', 'G', 'H', 'M', 'Q']"
"['A', 'F', 'J', 'O', 'P', 'Q']"
"['D', 'E', 'H', 'J', 'M', 'P']"
"['C', 'G', 'J', 'K', 'O', 'Q']"
"['D', 'H', 'K', 'M', 'N', 'O']"
"['A', 'E', 'I', 'M', 'N', 'P']"
"['A', 'G', 'J', 'K', 'P', 'Q']"
"['C', 'D', 'H', 'I', 'L', 'O']"
"['B', 'C', 'D', 'E', 'K', 'L']"
"['A', 'D', 'H', 'J', 'N', 'Q']"
"['E', 'H', 'J', 'L', 'N', 'P']"
"['A', 'B', 'D', 'F', 'I', 'Q']"
"['B', 'E', 'F', 'J', 'N', 'P']"
"['D', 'F', 'H', 'I', 'K', 'N']"
"['E', 'G', 'H', 'J', 'K', 'N']"
"['C', 'H', 'K', 'M', 'N', 'Q']"
"['A', 'D', 'E', 'G', 'L', 'O']"
"['B', 'E', 'G', 'L', 'N', 'Q']"
"['A', 'F', 'G', 'J', 'M', 'N']"
"['A', 'F', 'J', 'K', 'P', 'Q']"
"['A', 'B', 'D', 'F', 'J', 'P']"
"['A', 'E', 'G', 'I', 'N', 'P']"
"['E', 'I', 'K', 'L', 'O', 'Q']"
"['B', 'E', 'G', 'H', 'I', 'P']"
"['B', 'E', 'F', 'K', 'L', 'Q']"
"['A', 'C', 'E', 'F', 'K', 'L']"
"['B', 'C', 'J', 'K', 'L', 'Q']"
"['A', 'C', 'D', 'E', 'K', 'M']"
"['B', 'C', 'G', 'I', 'P', 'Q']"
"['A', 'B', 'H', 'I', 'K', 'P']"
"['D', 'G', 'H', 'I', 'J', 'N']"
"['E', 'G', 'I', 'J', 'L', 'N']"
"['C', 'H', 'J', 'M', 'O', 'Q']"
"['D', 'E', 'G', 'N', 'O', 'Q']"
"['F', 'G', 'H', 'K', 'N', 'O']"
"['F', 'H', 'M', 'N', 'O', 'Q']"
"['B', 'D', 'E', 'G', 'L', 'O']"
"['A', 'B', 'D', 'I', 'O', 'P']"
"['A', 'F', 'I', 'J', 'N', 'Q']"
"['C', 'D', 'F', 'I', 'O', 'P']"
"['A', 'B', 'F', 'J', 'M', 'O']"
"['B', 'F', 'I', 'J', 'L', 'O']"
"['B', 'E', 'F', 'G', 'H', 'Q']"
"['B', 'F', 'G', 'H', 'I', 'Q']"
"['B', 'F', 'H', 'N', 'O', 'P']"
"['D', 'F', 'I', 'J', 'L', 'P']"
"['E', 'G', 'H', 'I', 'K', 'Q']"
"['D', 'G', 'I', 'M', 'N', 'O']"
"['A', 'E', 'F', 'J', 'M', 'N']"
"['A', 'B', 'E', 'H', 'I', 'L']"
"['G', 'H', 'I', 'J', 'P', 'Q']"
"['A', 'C', 'F', 'I', 'M', 'P']"
"['A', 'C', 'D', 'I', 'J', 'L']"
"['F', 'I', 'J', 'L', 'N', 'Q']"
"['A', 'B', 'C', 'D', 'G', 'N']"
"['B', 'G', 'H', 'I', 'J', 'L']"
"['D', 'E', 'F', 'H', 'I', 'M']"
"['H', 'K', 'M', 'N', 'O', 'P']"
"['B', 'F', 'G', 'H', 'J', 'L']"
"['A', 'C', 'D', 'G', 'M', 'O']"
"['D', 'H', 'J', 'L', 'M', 'N']"
"['B', 'C', 'E', 'I', 'K', 'N']"
"['A', 'C', 'E', 'H', 'J', 'N']"
"['A', 'B', 'C', 'H', 'K', 'L']"
"['C', 'D', 'E', 'G', 'I', 'J']"
"['A', 'E', 'G', 'I', 'P', 'Q']"
"['E', 'H', 'J', 'K', 'M', 'P']"
"['C', 'E', 'F', 'H', 'K', 'P']"
"['B', 'D', 'E', 'K', 'M', 'P']"
"['B', 'F', 'H', 'L', 'N', 'Q']"
"['A', 'C', 'K', 'M', 'O', 'Q']"
"['A', 'B', 'D', 'E', 'G', 'K']"
"['C', 'E', 'G', 'H', 'J', 'L']"
"['B', 'E', 'H', 'K', 'L', 'Q']"
"['A', 'D', 'H', 'K', 'L', 'N']"
"['A', 'B', 'C', 'D', 'F', 'H']"
"['C', 'E', 'I', 'J', 'K', 'N']"
"['A', 'D', 'E', 'G', 'P', 'Q']"
"['B', 'E', 'I', 'M', 'N', 'P']"
"['A', 'B', 'G', 'H', 'M', 'O']"
"['B', 'C', 'F', 'H', 'I', 'K']"
"['A', 'D', 'F', 'K', 'L', 'Q']"
"['F', 'I', 'J', 'K', 'O', 'P']"
"['B', 'F', 'G', 'I', 'K', 'Q']"
"['G', 'H', 'J', 'L', 'P', 'Q']"
"['E', 'F', 'G', 'H', 'I', 'Q']"
"['B', 'D', 'E', 'H', 'M', 'O']"
"['C', 'F', 'G', 'N', 'O', 'Q']"
"['D', 'H', 'J', 'K', 'L', 'Q']"
"['D', 'E', 'I', 'L', 'N', 'O']"
"['A', 'D', 'K', 'L', 'M', 'Q']"
"['C', 'E', 'F', 'M', 'N', 'Q']"
"['C', 'G', 'L', 'M', 'N', 'Q']"
"['A', 'B', 'D', 'I', 'K', 'Q']"
"['D', 'F', 'G', 'J', 'M', 'Q']"
"['H', 'I', 'J', 'K', 'M', 'N']"
"['B', 'E', 'G', 'I', 'J', 'P']"
"['A', 'B', 'D', 'K', 'L', 'M']"
"['A', 'B', 'D', 'E', 'O', 'P']"
"['A', 'C', 'F', 'H', 'J', 'Q']"
"['A', 'B', 'C', 'E', 'G', 'L']"
"['B', 'E', 'H', 'J', 'N', 'O']"
"['A', 'B', 'G', 'K', 'M', 'P']"
"['D', 'F', 'H', 'L', 'M', 'N']"
"['A', 'B', 'D', 'E', 'H', 'Q']"
"['A', 'B', 'C', 'L', 'M', 'O']"
"['B', 'C', 'H', 'K', 'N', 'P']"
"['D', 'E', 'J', 'L', 'M', 'Q']"
"['B', 'K', 'L', 'M', 'O', 'P']"
"['B', 'D', 'E', 'I', 'J', 'O']"
"['A', 'B', 'D', 'F', 'L', 'M']"
"['C', 'G', 'N', 'O', 'P', 'Q']"
"['C', 'D', 'F', 'H', 'J', 'M']"
"['E', 'H', 'I', 'J', 'O', 'P']"
"['C', 'D', 'H', 'L', 'M', 'N']"
"['A', 'E', 'M', 'N', 'O', 'P']"
"['A', 'H', 'I', 'N', 'O', 'P']"
"['A', 'D', 'G', 'I', 'J', 'P']"
"['C', 'D', 'F', 'H', 'L', 'N']"
"['B', 'E', 'H', 'I', 'O', 'P']"
"['E', 'G', 'H', 'I', 'J', 'L']"
"['A', 'C', 'E', 'G', 'H', 'L']"
"['A', 'C', 'F', 'G', 'M', 'P']"
"['B', 'D', 'G', 'H', 'K', 'M']"
"['B', 'H', 'I', 'O', 'P', 'Q']"
"['E', 'H', 'J', 'M', 'P', 'Q']"
"['D', 'G', 'H', 'K', 'N', 'Q']"
"['A', 'B', 'F', 'J', 'M', 'N']"
"['A', 'B', 'K', 'M', 'N', 'O']"
"['B', 'C', 'F', 'I', 'M', 'O']"
"['A', 'D', 'E', 'H', 'I', 'J']"
"['D', 'E', 'F', 'I', 'N', 'P']"
"['G', 'I', 'M', 'O', 'P', 'Q']"
"['D', 'H', 'I', 'J', 'N', 'P']"
"['E', 'F', 'G', 'L', 'O', 'P']"
"['A', 'B', 'F', 'J', 'O', 'Q']"
"['A', 'B', 'C', 'E', 'H', 'K']"
"['G', 'J', 'M', 'N', 'O', 'P']"
"['B', 'D', 'K', 'L', 'N', 'Q']"
"['B', 'E', 'I', 'L', 'N', 'Q']"
"['A', 'B', 'E', 'F', 'H', 'L']"
"['A', 'B', 'D', 'L', 'M', 'P']"
"['A', 'B', 'H', 'K', 'O', 'P']"
"['A', 'C', 'F', 'J', 'P', 'Q']"
"['B', 'D', 'G', 'H', 'L', 'O']"
"['B', 'D', 'F', 'I', 'O', 'P']"
"['A', 'B', 'C', 'E', 'F', 'Q']"
"['C', 'D', 'E', 'H', 'M', 'P']"
"['C', 'D', 'F', 'J', 'O', 'P']"
"['C', 'F', 'H', 'K', 'N', 'Q']"
"['D', 'H', 'I', 'M', 'N', 'P']"
"['B', 'E', 'H', 'K', 'P', 'Q']"
"['B', 'D', 'H', 'I', 'P', 'Q']"
"['C', 'F', 'G', 'H', 'L', 'O']"
"['D', 'E', 'F', 'H', 'O', 'Q']"
"['A', 'F', 'G', 'H', 'J', 'M']"
"['A', 'L', 'M', 'O', 'P', 'Q']"
"['C', 'D', 'G', 'J', 'L', 'M']"
"['A', 'B', 'C', 'F', 'J', 'Q']"
"['B', 'C', 'H', 'O', 'P', 'Q']"
"['D', 'F', 'I', 'M', 'P', 'Q']"
"['G', 'I', 'K', 'L', 'O', 'P']"
"['A', 'F', 'H', 'K', 'P', 'Q']"
"['E', 'F', 'H', 'J', 'N', 'Q']"
"['C', 'D', 'J', 'L', 'O', 'Q']"
"['A', 'C', 'E', 'F', 'L', 'Q']"
"['C', 'D', 'F', 'G', 'M', 'P']"
"['A', 'C', 'G', 'H', 'K', 'M']"
"['A', 'D', 'G', 'J', 'M', 'O']"
"['B', 'C', 'E', 'I', 'O', 'Q']"
"['A', 'B', 'D', 'I', 'N', 'O']"
"['B', 'C', 'G', 'J', 'L', 'O']"
"['D', 'H', 'M', 'N', 'P', 'Q']"
"['A', 'H', 'I', 'K', 'O', 'Q']"
"['B', 'C', 'D', 'H', 'J', 'P']"
"['D', 'E', 'G', 'I', 'M', 'Q']"
"['C', 'D', 'G', 'H', 'P', 'Q']"
"['D', 'E', 'F', 'I', 'K', 'P']"
"['A', 'H', 'L', 'M', 'O', 'P']"
"['A', 'E', 'G', 'N', 'O', 'P']"
"['B', 'C', 'G', 'H', 'K', 'M']"
"['C', 'G', 'I', 'M', 'P', 'Q']"
"['D', 'F', 'G', 'H', 'I', 'J']"
"['A', 'D', 'E', 'M', 'N', 'Q']"
"['A', 'F', 'K', 'N', 'O', 'Q']"
"['A', 'B', 'E', 'L', 'P', 'Q']"
"['A', 'D', 'E', 'F', 'H', 'L']"
"['B', 'E', 'J', 'O', 'P', 'Q']"
"['A', 'E', 'M', 'O', 'P', 'Q']"
"['B', 'F', 'H', 'I', 'K', 'M']"
"['J', 'L', 'M', 'O', 'P', 'Q']"
"['B', 'F', 'J', 'K', 'N', 'Q']"
"['G', 'H', 'I', 'J', 'K', 'O']"
"['A', 'E', 'G', 'I', 'O', 'P']"
"['C', 'G', 'K', 'O', 'P', 'Q']"
"['B', 'C', 'F', 'H', 'K', 'L']"
"['B', 'D', 'I', 'M', 'O', 'P']"
"['E', 'F', 'G', 'H', 'I', 'J']"
"['D', 'J', 'L', 'M', 'N', 'O']"
"['C', 'D', 'I', 'J', 'K', 'L']"
"['C', 'H', 'I', 'L', 'O', 'Q']"
"['A', 'C', 'D', 'G', 'H', 'M']"
"['B', 'G', 'H', 'L', 'O', 'Q']"
"['B', 'H', 'L', 'N', 'P', 'Q']"
"['C', 'E', 'G', 'H', 'N', 'P']"
"['C', 'G', 'I', 'K', 'L', 'Q']"
"['B', 'H', 'I', 'J', 'O', 'P']"
"['A', 'B', 'C', 'D', 'K', 'M']"
"['C', 'D', 'E', 'I', 'J', 'K']"
"['B', 'C', 'D', 'E', 'K', 'P']"
"['C', 'D', 'G', 'H', 'I', 'N']"
"['A', 'H', 'I', 'K', 'N', 'O']"
"['B', 'C', 'F', 'L', 'M', 'O']"
"['C', 'H', 'J', 'K', 'O', 'Q']"
"['A', 'E', 'F', 'H', 'I', 'J']"
"['B', 'E', 'F', 'L', 'O', 'Q']"
"['A', 'F', 'M', 'N', 'P', 'Q']"
"['B', 'F', 'H', 'M', 'N', 'P']"
"['A', 'G', 'I', 'K', 'O', 'Q']"
"['B', 'D', 'E', 'G', 'J', 'Q']"
"['A', 'G', 'H', 'I', 'N', 'P']"
"['A', 'C', 'D', 'E', 'K', 'Q']"
"['A', 'B', 'K', 'N', 'O', 'P']"
"['B', 'F', 'G', 'L', 'N', 'Q']"
"['C', 'D', 'I', 'K', 'L', 'Q']"
"['C', 'E', 'G', 'K', 'L', 'Q']"
"['B', 'G', 'I', 'L', 'M', 'O']"
"['E', 'G', 'J', 'M', 'O', 'P']"
"['G', 'I', 'K', 'M', 'P', 'Q']"
"['A', 'F', 'M', 'N', 'O', 'P']"
"['I', 'K', 'L', 'M', 'P', 'Q']"
"['A', 'E', 'F', 'H', 'N', 'Q']"
"['C', 'F', 'G', 'I', 'N', 'P']"
"['H', 'J', 'K', 'O', 'P', 'Q']"
"['E', 'I', 'K', 'L', 'N', 'P']"
"['C', 'D', 'J', 'L', 'M', 'O']"
"['A', 'E', 'H', 'I', 'L', 'M']"
"['B', 'D', 'F', 'H', 'M', 'P']"
"['A', 'F', 'G', 'J', 'L', 'P']"
"['A', 'E', 'F', 'I', 'K', 'M']"
"['A', 'F', 'I', 'K', 'O', 'Q']"
"['A', 'D', 'H', 'J', 'P', 'Q']"
"['A', 'B', 'C', 'D', 'L', 'O']"
"['A', 'E', 'M', 'N', 'O', 'Q']"
"['C', 'F', 'H', 'I', 'N', 'Q']"
"['B', 'G', 'I', 'K', 'M', 'N']"
"['C', 'F', 'I', 'M', 'N', 'O']"
"['E', 'G', 'H', 'K', 'N', 'Q']"
"['B', 'D', 'E', 'H', 'M', 'N']"
"['B', 'C', 'D', 'F', 'G', 'I']"
"['B', 'D', 'E', 'I', 'K', 'L']"
"['A', 'C', 'E', 'G', 'I', 'P']"
"['D', 'E', 'G', 'H', 'J', 'N']"
"['E', 'H', 'J', 'L', 'O', 'Q']"
"['C', 'E', 'G', 'K', 'N', 'P']"
"['E', 'G', 'H', 'I', 'K', 'P']"
"['D', 'E', 'I', 'J', 'K', 'O']"
"['A', 'D', 'F', 'I', 'J', 'L']"
"['C', 'D', 'F', 'M', 'P', 'Q']"
"['B', 'C', 'F', 'L', 'N', 'O']"
"['A', 'G', 'I', 'M', 'O', 'Q']"
"['B', 'D', 'H', 'K', 'L', 'O']"
"['D', 'E', 'G', 'M', 'N', 'O']"
"['C', 'E', 'H', 'M', 'O', 'Q']"
"['D', 'E', 'G', 'K', 'O', 'Q']"
"['B', 'C', 'D', 'I', 'M', 'N']"
"['A', 'E', 'F', 'H', 'P', 'Q']"
"['B', 'C', 'G', 'I', 'M', 'P']"
"['A', 'C', 'E', 'H', 'K', 'P']"
"['B', 'C', 'D', 'G', 'J', 'Q']"
"['B', 'D', 'H', 'M', 'N', 'Q']"
"['A', 'B', 'F', 'I', 'L', 'P']"
"['E', 'F', 'I', 'J', 'M', 'N']"
"['D', 'E', 'H', 'I', 'M', 'O']"
"['F', 'G', 'I', 'J', 'M', 'N']"
"['E', 'H', 'J', 'O', 'P', 'Q']"
"['A', 'B', 'G', 'H', 'J', 'O']"
"['E', 'H', 'J', 'K', 'O', 'P']"
"['D', 'E', 'F', 'H', 'J', 'O']"
"['A', 'B', 'D', 'F', 'N', 'O']"
"['C', 'I', 'J', 'L', 'N', 'P']"
"['B', 'D', 'F', 'J', 'L', 'P']"
"['E', 'H', 'J', 'K', 'L', 'Q']"
"['A', 'B', 'C', 'M', 'O', 'P']"
"['B', 'C', 'E', 'G', 'M', 'N']"
"['A', 'E', 'J', 'L', 'O', 'P']"
"['A', 'D', 'F', 'K', 'P', 'Q']"
"['A', 'B', 'C', 'D', 'L', 'Q']"
"['A', 'D', 'J', 'K', 'M', 'Q']"
"['B', 'C', 'H', 'K', 'L', 'Q']"
"['A', 'F', 'G', 'I', 'N', 'Q']"
"['B', 'G', 'H', 'J', 'L', 'P']"
"['A', 'E', 'G', 'H', 'I', 'L']"
"['A', 'C', 'F', 'H', 'I', 'Q']"
"['C', 'E', 'F', 'G', 'M', 'P']"
"['A', 'C', 'I', 'M', 'N', 'P']"
"['A', 'E', 'I', 'J', 'M', 'Q']"
"['B', 'D', 'E', 'I', 'J', 'L']"
"['F', 'G', 'H', 'I', 'M', 'N']"
"['A', 'B', 'H', 'I', 'P', 'Q']"
"['A', 'E', 'K', 'L', 'N', 'O']"
"['A', 'B', 'D', 'E', 'H', 'J']"
"['A', 'E', 'G', 'H', 'K', 'L']"
"['A', 'D', 'H', 'L', 'M', 'N']"
"['A', 'G', 'I', 'M', 'P', 'Q']"
"['B', 'J', 'L', 'M', 'N', 'P']"
"['B', 'C', 'E', 'H', 'I', 'M']"
"['B', 'D', 'I', 'M', 'P', 'Q']"
"['D', 'F', 'H', 'K', 'M', 'P']"
"['D', 'E', 'F', 'I', 'M', 'P']"
"['C', 'G', 'H', 'K', 'N', 'O']"
"['A', 'B', 'K', 'L', 'N', 'Q']"
"['A', 'E', 'G', 'J', 'N', 'O']"
"['B', 'K', 'L', 'N', 'O', 'Q']"
"['A', 'B', 'L', 'N', 'O', 'P']"
"['D', 'F', 'I', 'J', 'M', 'Q']"
"['A', 'C', 'F', 'G', 'I', 'J']"
"['F', 'H', 'K', 'M', 'N', 'P']"
"['A', 'C', 'D', 'G', 'M', 'N']"
"['F', 'G', 'I', 'N', 'P', 'Q']"
"['C', 'F', 'G', 'N', 'P', 'Q']"
"['C', 'F', 'H', 'J', 'L', 'P']"
"['A', 'B', 'D', 'E', 'I', 'Q']"
"['D', 'E', 'F', 'L', 'O', 'P']"
"['B', 'C', 'F', 'L', 'N', 'P']"
"['B', 'E', 'I', 'L', 'M', 'P']"
"['A', 'D', 'F', 'G', 'I', 'J']"
"['D', 'E', 'H', 'M', 'N', 'P']"
"['E', 'G', 'I', 'K', 'N', 'Q']"
"['A', 'D', 'G', 'K', 'N', 'P']"
"['F', 'G', 'H', 'K', 'M', 'P']"
"['D', 'E', 'H', 'J', 'L', 'N']"
"['H', 'J', 'L', 'M', 'P', 'Q']"
"['D', 'F', 'I', 'M', 'N', 'Q']"
"['A', 'B', 'D', 'E', 'K', 'O']"
"['A', 'B', 'G', 'L', 'M', 'O']"
"['B', 'G', 'I', 'J', 'K', 'O']"
"['E', 'G', 'J', 'L', 'M', 'N']"
"['A', 'C', 'F', 'J', 'K', 'P']"
"['F', 'G', 'J', 'K', 'L', 'O']"
"['B', 'C', 'D', 'I', 'L', 'P']"
"['D', 'E', 'F', 'K', 'N', 'Q']"
"['C', 'D', 'G', 'H', 'K', 'N']"
"['B', 'E', 'G', 'J', 'L', 'O']"
"['A', 'B', 'K', 'L', 'N', 'O']"
"['B', 'J', 'K', 'M', 'O', 'Q']"
"['A', 'C', 'F', 'M', 'P', 'Q']"
"['D', 'F', 'G', 'I', 'P', 'Q']"
"['A', 'C', 'H', 'I', 'M', 'Q']"
"['I', 'K', 'L', 'N', 'O', 'P']"
"['G', 'H', 'I', 'L', 'N', 'Q']"
"['C', 'E', 'H', 'K', 'L', 'O']"
"['A', 'C', 'D', 'E', 'I', 'P']"
"['A', 'C', 'H', 'L', 'O', 'Q']"
"['D', 'E', 'F', 'G', 'H', 'P']"
"['A', 'E', 'G', 'I', 'L', 'P']"
"['C', 'E', 'K', 'L', 'M', 'N']"
"['A', 'B', 'C', 'G', 'P', 'Q']"
"['D', 'H', 'J', 'M', 'O', 'P']"
"['D', 'F', 'H', 'I', 'N', 'O']"
"['A', 'E', 'H', 'I', 'J', 'L']"
"['A', 'E', 'I', 'J', 'K', 'O']"
"['D', 'I', 'J', 'L', 'O', 'P']"
"['B', 'C', 'E', 'H', 'L', 'O']"
"['B', 'E', 'G', 'I', 'K', 'O']"
"['G', 'L', 'M', 'N', 'O', 'Q']"
"['G', 'J', 'K', 'L', 'O', 'Q']"
"['A', 'E', 'G', 'I', 'M', 'N']"
"['C', 'D', 'E', 'F', 'P', 'Q']"
"['D', 'E', 'G', 'H', 'L', 'O']"
"['B', 'F', 'H', 'I', 'L', 'O']"
"['B', 'D', 'F', 'H', 'I', 'P']"
"['A', 'B', 'H', 'J', 'K', 'O']"
"['B', 'I', 'J', 'K', 'L', 'P']"
"['E', 'K', 'L', 'M', 'O', 'P']"
"['F', 'I', 'J', 'M', 'N', 'O']"
"['B', 'I', 'K', 'M', 'O', 'P']"
"['D', 'H', 'I', 'L', 'P', 'Q']"
"['C', 'G', 'K', 'L', 'P', 'Q']"
