items
"['B', 'L', 'P', 'Q']"
"['A', 'E', 'H', 'J']"
"['A', 'F', 'O', 'Q']"
"['E', 'K', 'L', 'P']"
"['F', 'K', 'L', 'N']"
"['A', 'F', 'J', 'O']"
"['B', 'D', 'O', 'P']"
"['F', 'I', 'O', 'Q']"
"['E', 'K', 'M', 'N']"
"['A', 'C', 'K', 'N']"
"['E', 'I', 'J', 'Q']"
"['H', 'K', 'N', 'P']"
"['A', 'H', 'I', 'P']"
"['B', 'E', 'L', 'M']"
"['H', 'I', 'K', 'M']"
"['B', 'E', 'J', 'K']"
"['C', 'K', 'N', 'O']"
"['B', 'C', 'L', 'P']"
"['A', 'C', 'K', 'O']"
"['G', 'K', 'P', 'Q']"
"['F', 'H', 'O', 'P']"
"['D', 'M', 'O', 'P']"
"['L', 'M', 'N', 'P']"
"['C', 'E', 'K', 'L']"
"['I', 'J', 'M', 'P']"
"['B', 'I', 'L', 'P']"
"['H', 'K', 'L', 'M']"
"['J', 'K', 'M', 'P']"
"['E', 'J', 'L', 'O']"
"['E', 'H', 'P', 'Q']"
"['A', 'D', 'F', 'K']"
"['A', 'F', 'K', 'P']"
"['A', 'O', 'P', 'Q']"
"['E', 'K', 'M', 'O']"
"['B', 'F', 'J', 'P']"
"['H', 'N', 'P', 'Q']"
"['G', 'J', 'K', 'Q']"
"['A', 'C', 'F', 'I']"
"['D', 'F', 'G', 'M']"
"['B', 'L', 'M', 'Q']"
"['D', 'F', 'L', 'M']"
"['K', 'L', 'O', 'Q']"
"['C', 'D', 'G', 'M']"
"['E', 'H', 'J', 'K']"
"['B', 'C', 'K', 'M']"
"['B', 'C', 'G', 'J']"
"['B', 'G', 'I', 'O']"
"['A', 'B', 'I', 'L']"
"['A', 'B', 'E', 'I']"
"['D', 'E', 'L', 'P']"
"['A', 'C', 'H', 'K']"
"['H', 'L', 'M', 'P']"
"['C', 'H', 'I', 'N']"
"['G', 'J', 'P', 'Q']"
"['A', 'B', 'D', 'O']"
"['D', 'F', 'H', 'L']"
"['H', 'J', 'L', 'N']"
"['B', 'J', 'L', 'M']"
"['D', 'H', 'L', 'M']"
"['D', 'E', 'K', 'P']"
"['B', 'G', 'L', 'O']"
"['D', 'I', 'L', 'P']"
"['E', 'G', 'L', 'N']"
"['D', 'J', 'M', 'O']"
"['A', 'B', 'G', 'H']"
"['B', 'C', 'D', 'H']"
"['A', 'B', 'C', 'J']"
"['H', 'I', 'K', 'N']"
"['D', 'L', 'M', 'O']"
"['D', 'G', 'I', 'Q']"
"['B', 'E', 'M', 'Q']"
"['D', 'F', 'N', 'Q']"
"['E', 'M', 'O', 'Q']"
"['B', 'K', 'L', 'O']"
"['E', 'F', 'G', 'O']"
"['C', 'G', 'M', 'P']"
"['G', 'J', 'K', 'L']"
"['D', 'H', 'L', 'N']"
"['E', 'H', 'L', 'N']"
"['D', 'E', 'H', 'P']"
"['D', 'E', 'F', 'P']"
"['B', 'D', 'J', 'P']"
"['E', 'H', 'J', 'M']"
