items
"['C', 'E', 'H', 'I', 'K']"
"['C', 'J', 'L', 'M', 'N']"
"['C', 'D', 'K', 'P', 'Q']"
"['B', 'D', 'F', 'J', 'Q']"
"['F', 'I', 'M', 'O', 'P']"
"['A', 'C', 'D', 'J', 'O']"
"['H', 'K', 'M', 'N', 'P']"
"['A', 'F', 'H', 'N', 'Q']"
"['A', 'B', 'H', 'M', 'O']"
"['E', 'J', 'M', 'P', 'Q']"
"['C', 'G', 'J', 'L', 'O']"
"['A', 'F', 'I', 'M', 'P']"
"['A', 'E', 'I', 'L', 'P']"
"['A', 'D', 'K', 'M', 'O']"
"['G', 'H', 'I', 'M', 'O']"
"['A', 'F', 'G', 'I', 'M']"
"['A', 'B', 'H', 'I', 'N']"
"['F', 'G', 'K', 'M', 'O']"
"['B', 'G', 'I', 'J', 'K']"
"['A', 'B', 'F', 'K', 'Q']"
"['A', 'C', 'K', 'N', 'Q']"
"['B', 'E', 'I', 'J', 'N']"
"['B', 'K', 'L', 'N', 'Q']"
"['A', 'D', 'K', 'P', 'Q']"
"['E', 'H', 'M', 'O', 'P']"
"['A', 'C', 'G', 'M', 'N']"
"['B', 'E', 'H', 'I', 'N']"
"['B', 'C', 'D', 'E', 'I']"
"['A', 'F', 'H', 'I', 'M']"
"['A', 'K', 'M', 'O', 'Q']"
"['D', 'K', 'M', 'N', 'Q']"
"['D', 'E', 'F', 'I', 'P']"
"['C', 'F', 'G', 'K', 'O']"
"['A', 'I', 'J', 'K', 'Q']"
"['B', 'C', 'H', 'K', 'Q']"
"['B', 'G', 'J', 'L', 'N']"
"['B', 'C', 'J', 'K', 'L']"
"['G', 'J', 'K', 'L', 'P']"
"['C', 'I', 'J', 'L', 'P']"
"['D', 'E', 'L', 'N', 'O']"
"['H', 'J', 'K', 'L', 'Q']"
"['H', 'K', 'M', 'O', 'Q']"
"['C', 'G', 'K', 'N', 'P']"
"['B', 'C', 'J', 'K', 'M']"
"['B', 'E', 'F', 'K', 'M']"
"['F', 'L', 'M', 'N', 'Q']"
"['C', 'E', 'I', 'K', 'L']"
"['A', 'G', 'J', 'N', 'O']"
"['D', 'F', 'K', 'O', 'P']"
"['A', 'E', 'J', 'K', 'O']"
"['C', 'E', 'H', 'I', 'M']"
"['E', 'H', 'I', 'K', 'O']"
"['A', 'G', 'I', 'N', 'O']"
"['C', 'D', 'E', 'I', 'J']"
"['F', 'H', 'L', 'N', 'Q']"
"['E', 'J', 'K', 'M', 'Q']"
"['E', 'H', 'I', 'L', 'N']"
"['A', 'D', 'H', 'I', 'L']"
"['I', 'J', 'K', 'L', 'N']"
"['A', 'F', 'G', 'K', 'O']"
"['K', 'L', 'N', 'P', 'Q']"
"['A', 'H', 'M', 'N', 'O']"
"['E', 'F', 'J', 'M', 'P']"
"['E', 'K', 'L', 'N', 'P']"
"['A', 'H', 'I', 'K', 'Q']"
"['E', 'G', 'L', 'O', 'Q']"
"['B', 'C', 'G', 'M', 'Q']"
"['K', 'M', 'O', 'P', 'Q']"
"['A', 'C', 'E', 'K', 'Q']"
"['D', 'E', 'H', 'N', 'Q']"
"['B', 'D', 'J', 'L', 'N']"
"['B', 'J', 'M', 'O', 'P']"
"['C', 'F', 'G', 'H', 'M']"
"['F', 'H', 'J', 'P', 'Q']"
"['A', 'J', 'M', 'N', 'Q']"
"['E', 'F', 'J', 'L', 'Q']"
"['A', 'B', 'G', 'J', 'M']"
"['A', 'I', 'J', 'K', 'P']"
"['A', 'G', 'N', 'O', 'Q']"
"['A', 'E', 'H', 'N', 'Q']"
"['A', 'G', 'J', 'K', 'P']"
"['A', 'J', 'M', 'O', 'P']"
"['A', 'H', 'I', 'L', 'M']"
"['E', 'G', 'L', 'N', 'P']"
"['A', 'B', 'D', 'G', 'J']"
"['A', 'H', 'J', 'O', 'P']"
"['A', 'D', 'G', 'K', 'Q']"
"['A', 'B', 'K', 'M', 'Q']"
"['B', 'C', 'N', 'P', 'Q']"
"['C', 'I', 'J', 'N', 'Q']"
"['E', 'H', 'J', 'K', 'M']"
"['E', 'F', 'G', 'M', 'O']"
"['F', 'H', 'J', 'N', 'P']"
"['A', 'B', 'C', 'E', 'G']"
"['A', 'E', 'I', 'J', 'L']"
"['A', 'C', 'D', 'E', 'N']"
"['E', 'F', 'I', 'M', 'N']"
"['C', 'G', 'I', 'N', 'P']"
"['A', 'C', 'G', 'K', 'M']"
"['B', 'C', 'G', 'K', 'P']"
"['A', 'I', 'K', 'L', 'Q']"
"['D', 'E', 'N', 'O', 'Q']"
"['B', 'H', 'J', 'N', 'Q']"
"['F', 'H', 'K', 'O', 'P']"
"['D', 'F', 'I', 'K', 'M']"
"['A', 'C', 'M', 'N', 'Q']"
"['F', 'G', 'I', 'J', 'N']"
"['D', 'E', 'F', 'I', 'L']"
"['A', 'B', 'G', 'H', 'N']"
"['B', 'F', 'H', 'M', 'P']"
"['D', 'F', 'O', 'P', 'Q']"
"['E', 'G', 'I', 'J', 'O']"
"['E', 'I', 'K', 'M', 'O']"
"['G', 'J', 'K', 'N', 'P']"
"['E', 'J', 'K', 'L', 'Q']"
"['D', 'G', 'K', 'N', 'O']"
"['C', 'G', 'K', 'O', 'P']"
"['B', 'E', 'G', 'M', 'Q']"
"['D', 'E', 'G', 'K', 'N']"
"['B', 'F', 'L', 'M', 'N']"
"['E', 'I', 'K', 'M', 'P']"
"['B', 'C', 'D', 'E', 'H']"
"['B', 'E', 'L', 'M', 'Q']"
"['E', 'J', 'L', 'N', 'O']"
"['A', 'E', 'K', 'L', 'N']"
"['C', 'F', 'G', 'I', 'N']"
"['B', 'E', 'K', 'L', 'O']"
"['K', 'L', 'M', 'N', 'P']"
"['A', 'G', 'K', 'M', 'P']"
"['A', 'C', 'F', 'K', 'N']"
"['A', 'E', 'F', 'K', 'L']"
"['C', 'E', 'H', 'I', 'J']"
"['B', 'E', 'G', 'I', 'L']"
"['A', 'I', 'M', 'O', 'Q']"
"['A', 'G', 'H', 'J', 'N']"
"['A', 'B', 'I', 'K', 'M']"
"['B', 'C', 'F', 'I', 'K']"
"['C', 'E', 'G', 'I', 'N']"
"['A', 'C', 'D', 'I', 'K']"
"['A', 'E', 'F', 'K', 'P']"
"['D', 'H', 'J', 'N', 'Q']"
"['E', 'G', 'H', 'I', 'O']"
"['C', 'F', 'J', 'L', 'M']"
"['D', 'E', 'F', 'I', 'Q']"
"['B', 'H', 'J', 'N', 'O']"
"['C', 'L', 'N', 'P', 'Q']"
"['F', 'H', 'J', 'L', 'P']"
"['B', 'C', 'J', 'N', 'P']"
"['E', 'F', 'K', 'L', 'Q']"
"['B', 'C', 'D', 'M', 'N']"
"['A', 'F', 'L', 'O', 'P']"
"['A', 'E', 'F', 'J', 'M']"
"['E', 'G', 'H', 'K', 'L']"
"['A', 'D', 'F', 'I', 'M']"
"['B', 'K', 'N', 'O', 'Q']"
"['D', 'F', 'G', 'H', 'N']"
"['B', 'D', 'G', 'I', 'K']"
"['B', 'E', 'J', 'N', 'Q']"
"['D', 'H', 'L', 'N', 'O']"
"['A', 'G', 'H', 'M', 'P']"
"['E', 'F', 'G', 'J', 'N']"
"['B', 'E', 'G', 'O', 'P']"
"['C', 'I', 'L', 'N', 'O']"
"['B', 'G', 'J', 'N', 'O']"
"['D', 'G', 'I', 'M', 'O']"
"['B', 'D', 'F', 'L', 'P']"
"['B', 'C', 'I', 'P', 'Q']"
"['C', 'G', 'H', 'J', 'L']"
"['B', 'C', 'D', 'E', 'P']"
"['B', 'L', 'N', 'O', 'Q']"
"['C', 'F', 'H', 'L', 'N']"
"['C', 'F', 'I', 'L', 'P']"
"['A', 'D', 'H', 'I', 'Q']"
"['B', 'E', 'H', 'M', 'N']"
"['J', 'L', 'M', 'N', 'Q']"
"['A', 'B', 'D', 'K', 'O']"
"['A', 'C', 'G', 'I', 'N']"
"['A', 'D', 'M', 'P', 'Q']"
"['G', 'H', 'K', 'N', 'O']"
"['A', 'B', 'I', 'J', 'K']"
"['A', 'D', 'H', 'J', 'M']"
"['B', 'E', 'H', 'M', 'O']"
"['A', 'C', 'D', 'I', 'J']"
"['B', 'G', 'I', 'M', 'O']"
"['B', 'D', 'G', 'H', 'N']"
"['E', 'F', 'H', 'I', 'K']"
"['D', 'E', 'G', 'O', 'P']"
"['E', 'G', 'H', 'N', 'P']"
"['D', 'F', 'G', 'I', 'L']"
"['A', 'B', 'J', 'L', 'M']"
"['E', 'H', 'L', 'N', 'Q']"
"['C', 'D', 'F', 'H', 'O']"
"['B', 'F', 'G', 'H', 'O']"
"['B', 'C', 'F', 'O', 'P']"
"['B', 'G', 'H', 'I', 'K']"
"['B', 'C', 'D', 'E', 'O']"
"['G', 'I', 'J', 'K', 'L']"
"['C', 'D', 'I', 'K', 'N']"
"['A', 'C', 'D', 'O', 'Q']"
"['A', 'G', 'K', 'O', 'P']"
"['C', 'D', 'E', 'H', 'I']"
"['A', 'F', 'H', 'O', 'Q']"
"['C', 'G', 'I', 'K', 'P']"
"['B', 'C', 'I', 'L', 'Q']"
"['A', 'B', 'D', 'L', 'P']"
"['B', 'F', 'G', 'J', 'L']"
"['C', 'D', 'E', 'F', 'J']"
"['D', 'E', 'G', 'K', 'L']"
"['D', 'L', 'M', 'P', 'Q']"
"['B', 'D', 'E', 'F', 'N']"
"['A', 'J', 'L', 'O', 'P']"
"['C', 'F', 'K', 'L', 'O']"
"['A', 'G', 'H', 'K', 'M']"
"['F', 'G', 'K', 'N', 'P']"
"['A', 'E', 'H', 'L', 'P']"
"['B', 'F', 'I', 'L', 'O']"
"['C', 'D', 'J', 'K', 'M']"
"['A', 'B', 'H', 'I', 'M']"
"['C', 'L', 'N', 'O', 'P']"
"['E', 'H', 'K', 'P', 'Q']"
"['A', 'D', 'G', 'H', 'J']"
"['A', 'D', 'F', 'J', 'Q']"
"['C', 'F', 'N', 'P', 'Q']"
"['A', 'B', 'H', 'P', 'Q']"
"['D', 'I', 'K', 'L', 'M']"
"['D', 'L', 'M', 'N', 'O']"
"['F', 'I', 'J', 'L', 'M']"
"['B', 'D', 'E', 'G', 'N']"
"['B', 'H', 'I', 'N', 'Q']"
"['D', 'H', 'K', 'N', 'O']"
"['C', 'E', 'I', 'J', 'N']"
"['D', 'E', 'G', 'J', 'L']"
"['A', 'E', 'F', 'J', 'N']"
"['D', 'F', 'G', 'K', 'P']"
"['B', 'G', 'J', 'O', 'P']"
"['A', 'C', 'E', 'K', 'N']"
"['C', 'D', 'G', 'O', 'Q']"
"['B', 'F', 'I', 'N', 'P']"
"['G', 'H', 'J', 'L', 'N']"
"['B', 'D', 'L', 'M', 'P']"
"['A', 'E', 'I', 'O', 'P']"
"['E', 'J', 'K', 'N', 'Q']"
"['D', 'I', 'K', 'N', 'O']"
"['I', 'K', 'M', 'O', 'P']"
"['D', 'J', 'M', 'N', 'Q']"
"['C', 'D', 'E', 'M', 'Q']"
"['E', 'F', 'G', 'K', 'N']"
"['D', 'F', 'H', 'L', 'P']"
"['A', 'E', 'I', 'M', 'Q']"
"['A', 'H', 'I', 'L', 'N']"
"['A', 'F', 'I', 'L', 'N']"
"['A', 'H', 'I', 'L', 'Q']"
"['A', 'C', 'E', 'I', 'L']"
"['D', 'J', 'K', 'L', 'Q']"
"['A', 'E', 'M', 'O', 'Q']"
"['C', 'G', 'H', 'O', 'Q']"
"['E', 'J', 'L', 'O', 'P']"
"['C', 'D', 'I', 'N', 'Q']"
"['C', 'D', 'F', 'L', 'M']"
"['I', 'K', 'L', 'M', 'Q']"
"['C', 'D', 'E', 'I', 'K']"
"['B', 'E', 'H', 'O', 'Q']"
"['C', 'E', 'G', 'I', 'J']"
"['E', 'K', 'N', 'O', 'Q']"
"['B', 'F', 'G', 'J', 'P']"
"['F', 'K', 'L', 'M', 'P']"
"['A', 'C', 'D', 'F', 'Q']"
"['E', 'H', 'I', 'K', 'L']"
"['B', 'G', 'K', 'M', 'P']"
"['H', 'I', 'J', 'M', 'N']"
"['B', 'C', 'G', 'H', 'M']"
"['B', 'D', 'E', 'F', 'P']"
"['B', 'F', 'G', 'M', 'N']"
"['A', 'D', 'E', 'F', 'H']"
"['A', 'C', 'H', 'K', 'N']"
"['A', 'C', 'D', 'I', 'M']"
"['B', 'C', 'H', 'N', 'O']"
"['D', 'F', 'K', 'N', 'P']"
"['E', 'J', 'K', 'M', 'O']"
"['C', 'F', 'G', 'J', 'L']"
"['A', 'E', 'I', 'L', 'N']"
"['D', 'F', 'I', 'L', 'P']"
"['C', 'D', 'F', 'G', 'Q']"
"['D', 'F', 'H', 'K', 'M']"
"['A', 'B', 'D', 'G', 'P']"
"['D', 'J', 'O', 'P', 'Q']"
"['E', 'K', 'L', 'M', 'Q']"
"['B', 'E', 'G', 'I', 'J']"
"['B', 'C', 'M', 'O', 'P']"
"['C', 'H', 'I', 'L', 'N']"
"['A', 'C', 'M', 'O', 'Q']"
"['C', 'G', 'K', 'L', 'N']"
"['D', 'G', 'J', 'P', 'Q']"
"['E', 'M', 'N', 'O', 'P']"
"['B', 'I', 'K', 'N', 'P']"
"['C', 'J', 'L', 'O', 'Q']"
"['B', 'D', 'I', 'L', 'M']"
"['C', 'F', 'G', 'I', 'P']"
"['H', 'I', 'M', 'O', 'Q']"
"['D', 'J', 'L', 'M', 'O']"
"['A', 'H', 'K', 'L', 'Q']"
"['A', 'B', 'F', 'M', 'P']"
"['A', 'B', 'C', 'F', 'O']"
"['A', 'C', 'H', 'I', 'M']"
"['H', 'L', 'N', 'O', 'P']"
"['D', 'G', 'H', 'O', 'Q']"
"['C', 'D', 'H', 'P', 'Q']"
"['A', 'C', 'F', 'I', 'N']"
"['C', 'D', 'F', 'H', 'N']"
"['G', 'H', 'K', 'L', 'N']"
"['C', 'D', 'E', 'I', 'M']"
"['D', 'H', 'I', 'K', 'O']"
"['E', 'G', 'I', 'L', 'P']"
"['C', 'I', 'K', 'N', 'P']"
"['B', 'D', 'G', 'J', 'O']"
"['B', 'F', 'G', 'J', 'K']"
"['C', 'D', 'J', 'N', 'Q']"
"['C', 'F', 'G', 'J', 'P']"
"['B', 'F', 'H', 'K', 'M']"
"['C', 'E', 'F', 'N', 'O']"
"['B', 'D', 'I', 'M', 'Q']"
"['C', 'F', 'J', 'M', 'O']"
"['E', 'H', 'L', 'P', 'Q']"
"['F', 'H', 'K', 'P', 'Q']"
"['B', 'G', 'M', 'N', 'P']"
"['A', 'I', 'J', 'K', 'L']"
"['C', 'H', 'I', 'K', 'P']"
"['C', 'F', 'I', 'J', 'O']"
"['E', 'F', 'H', 'I', 'J']"
"['B', 'C', 'E', 'F', 'I']"
"['B', 'D', 'H', 'K', 'Q']"
"['A', 'D', 'F', 'I', 'Q']"
"['A', 'E', 'G', 'O', 'Q']"
"['H', 'I', 'L', 'N', 'O']"
"['C', 'D', 'E', 'K', 'O']"
"['D', 'H', 'K', 'M', 'P']"
"['C', 'F', 'J', 'K', 'O']"
"['B', 'J', 'K', 'M', 'N']"
"['B', 'C', 'E', 'O', 'P']"
"['B', 'E', 'F', 'J', 'K']"
"['D', 'J', 'M', 'N', 'O']"
"['D', 'L', 'M', 'N', 'Q']"
"['D', 'E', 'H', 'I', 'Q']"
"['A', 'E', 'G', 'H', 'N']"
"['A', 'H', 'K', 'M', 'P']"
"['A', 'E', 'F', 'I', 'O']"
"['B', 'F', 'M', 'N', 'O']"
"['F', 'J', 'K', 'N', 'Q']"
"['D', 'E', 'K', 'N', 'P']"
"['C', 'G', 'K', 'L', 'P']"
"['D', 'G', 'H', 'O', 'P']"
"['B', 'C', 'L', 'M', 'Q']"
"['C', 'G', 'M', 'N', 'O']"
"['C', 'E', 'G', 'J', 'Q']"
"['A', 'C', 'E', 'F', 'H']"
"['A', 'E', 'G', 'J', 'Q']"
"['B', 'C', 'F', 'I', 'P']"
"['A', 'B', 'E', 'F', 'J']"
"['C', 'D', 'L', 'M', 'O']"
"['G', 'K', 'L', 'P', 'Q']"
"['B', 'D', 'H', 'M', 'N']"
"['K', 'M', 'N', 'O', 'Q']"
"['A', 'B', 'E', 'I', 'L']"
"['B', 'F', 'G', 'N', 'O']"
"['B', 'C', 'F', 'K', 'M']"
"['F', 'G', 'H', 'N', 'O']"
"['E', 'J', 'M', 'N', 'O']"
"['D', 'H', 'L', 'M', 'N']"
"['I', 'L', 'O', 'P', 'Q']"
"['C', 'H', 'K', 'M', 'P']"
"['A', 'G', 'H', 'L', 'M']"
"['D', 'I', 'J', 'M', 'P']"
"['A', 'C', 'F', 'H', 'J']"
"['E', 'F', 'J', 'P', 'Q']"
"['B', 'H', 'N', 'O', 'Q']"
"['A', 'C', 'E', 'I', 'N']"
"['B', 'E', 'F', 'N', 'P']"
"['D', 'I', 'M', 'O', 'Q']"
"['A', 'C', 'D', 'I', 'L']"
"['C', 'E', 'G', 'L', 'P']"
"['E', 'F', 'M', 'N', 'P']"
"['E', 'H', 'J', 'K', 'Q']"
"['B', 'E', 'L', 'N', 'O']"
"['F', 'H', 'I', 'O', 'P']"
"['D', 'I', 'M', 'P', 'Q']"
"['B', 'C', 'F', 'M', 'P']"
"['D', 'F', 'I', 'P', 'Q']"
"['C', 'E', 'H', 'L', 'P']"
"['A', 'G', 'H', 'K', 'N']"
"['B', 'C', 'D', 'F', 'L']"
"['B', 'E', 'J', 'N', 'O']"
"['A', 'D', 'J', 'N', 'Q']"
"['D', 'F', 'G', 'K', 'O']"
"['C', 'J', 'M', 'N', 'P']"
"['E', 'F', 'G', 'I', 'J']"
"['D', 'F', 'H', 'K', 'L']"
"['B', 'H', 'J', 'M', 'O']"
"['D', 'E', 'J', 'K', 'N']"
"['E', 'H', 'J', 'M', 'Q']"
"['A', 'C', 'G', 'K', 'L']"
"['A', 'B', 'D', 'F', 'O']"
"['A', 'B', 'F', 'H', 'O']"
"['A', 'F', 'H', 'L', 'Q']"
"['A', 'E', 'K', 'N', 'P']"
"['I', 'J', 'K', 'P', 'Q']"
"['C', 'D', 'G', 'H', 'J']"
"['A', 'C', 'F', 'H', 'O']"
"['A', 'E', 'I', 'K', 'N']"
"['B', 'C', 'D', 'H', 'J']"
"['A', 'B', 'F', 'G', 'P']"
"['I', 'J', 'L', 'P', 'Q']"
"['A', 'E', 'J', 'K', 'L']"
"['B', 'C', 'G', 'J', 'O']"
"['A', 'B', 'E', 'I', 'P']"
"['C', 'H', 'J', 'O', 'P']"
"['B', 'E', 'G', 'H', 'M']"
"['B', 'E', 'F', 'I', 'L']"
"['A', 'B', 'C', 'F', 'G']"
"['A', 'C', 'K', 'M', 'Q']"
"['E', 'K', 'L', 'O', 'Q']"
"['A', 'C', 'I', 'N', 'O']"
"['B', 'G', 'K', 'L', 'P']"
"['A', 'C', 'G', 'O', 'Q']"
"['A', 'G', 'J', 'O', 'P']"
"['C', 'D', 'G', 'M', 'P']"
"['A', 'I', 'J', 'N', 'Q']"
"['B', 'G', 'L', 'O', 'P']"
"['F', 'G', 'H', 'K', 'Q']"
"['B', 'I', 'M', 'N', 'Q']"
"['A', 'D', 'E', 'F', 'I']"
"['A', 'C', 'E', 'G', 'N']"
"['E', 'F', 'K', 'O', 'P']"
"['B', 'E', 'J', 'O', 'P']"
"['A', 'E', 'F', 'G', 'N']"
"['G', 'H', 'M', 'N', 'P']"
"['A', 'E', 'F', 'K', 'Q']"
"['C', 'D', 'O', 'P', 'Q']"
"['B', 'D', 'F', 'H', 'I']"
"['A', 'C', 'K', 'L', 'M']"
"['E', 'K', 'L', 'M', 'N']"
"['E', 'G', 'I', 'J', 'N']"
"['F', 'H', 'J', 'K', 'O']"
"['C', 'D', 'H', 'J', 'L']"
"['B', 'D', 'E', 'N', 'O']"
"['D', 'F', 'H', 'N', 'Q']"
"['A', 'I', 'K', 'L', 'O']"
"['F', 'H', 'I', 'J', 'N']"
"['D', 'K', 'L', 'M', 'N']"
"['G', 'I', 'L', 'O', 'Q']"
"['A', 'L', 'N', 'P', 'Q']"
"['I', 'J', 'K', 'N', 'O']"
"['F', 'J', 'K', 'P', 'Q']"
"['B', 'E', 'F', 'G', 'O']"
"['D', 'F', 'I', 'K', 'N']"
"['D', 'G', 'K', 'P', 'Q']"
"['H', 'L', 'M', 'O', 'P']"
"['E', 'F', 'I', 'L', 'P']"
"['A', 'C', 'E', 'K', 'M']"
"['D', 'J', 'N', 'O', 'Q']"
"['B', 'H', 'L', 'M', 'O']"
"['D', 'E', 'K', 'M', 'Q']"
"['G', 'M', 'N', 'O', 'Q']"
"['D', 'K', 'N', 'O', 'Q']"
"['G', 'H', 'K', 'O', 'Q']"
"['A', 'I', 'J', 'O', 'P']"
"['C', 'F', 'H', 'N', 'P']"
"['F', 'H', 'J', 'K', 'M']"
"['F', 'I', 'M', 'P', 'Q']"
"['C', 'D', 'I', 'J', 'L']"
"['D', 'G', 'K', 'O', 'Q']"
"['A', 'B', 'C', 'D', 'L']"
"['B', 'G', 'J', 'L', 'O']"
"['A', 'C', 'D', 'H', 'P']"
"['D', 'J', 'K', 'M', 'N']"
"['C', 'G', 'H', 'I', 'Q']"
"['C', 'I', 'J', 'K', 'N']"
"['A', 'B', 'E', 'L', 'P']"
"['A', 'B', 'E', 'H', 'P']"
"['B', 'G', 'H', 'I', 'N']"
"['G', 'K', 'M', 'O', 'Q']"
"['D', 'G', 'H', 'I', 'M']"
"['B', 'G', 'K', 'O', 'Q']"
"['B', 'D', 'K', 'L', 'M']"
"['C', 'G', 'M', 'O', 'P']"
"['D', 'G', 'N', 'O', 'Q']"
"['F', 'G', 'I', 'L', 'N']"
"['B', 'H', 'I', 'K', 'P']"
"['F', 'G', 'I', 'P', 'Q']"
"['B', 'D', 'K', 'O', 'Q']"
"['B', 'C', 'K', 'M', 'Q']"
"['E', 'F', 'I', 'K', 'N']"
"['G', 'H', 'O', 'P', 'Q']"
"['C', 'H', 'I', 'K', 'L']"
"['C', 'D', 'H', 'K', 'P']"
"['B', 'C', 'G', 'J', 'N']"
"['F', 'H', 'J', 'L', 'Q']"
"['B', 'G', 'H', 'I', 'Q']"
"['C', 'D', 'I', 'K', 'P']"
"['G', 'H', 'J', 'N', 'Q']"
"['F', 'K', 'M', 'O', 'P']"
"['C', 'E', 'F', 'G', 'O']"
"['A', 'E', 'F', 'M', 'Q']"
"['A', 'C', 'D', 'F', 'O']"
"['A', 'B', 'D', 'H', 'N']"
"['F', 'G', 'H', 'J', 'K']"
"['B', 'F', 'L', 'M', 'Q']"
"['A', 'E', 'J', 'N', 'P']"
"['C', 'I', 'M', 'N', 'O']"
"['E', 'F', 'N', 'O', 'Q']"
"['H', 'J', 'L', 'M', 'Q']"
"['A', 'B', 'C', 'D', 'I']"
"['C', 'F', 'H', 'K', 'L']"
"['A', 'G', 'M', 'N', 'O']"
"['F', 'H', 'I', 'P', 'Q']"
"['D', 'F', 'I', 'O', 'P']"
"['B', 'H', 'J', 'P', 'Q']"
"['G', 'L', 'M', 'N', 'Q']"
"['G', 'I', 'M', 'N', 'P']"
"['C', 'D', 'I', 'L', 'O']"
"['C', 'D', 'E', 'K', 'L']"
"['D', 'H', 'J', 'L', 'M']"
"['C', 'H', 'I', 'M', 'N']"
"['A', 'E', 'H', 'L', 'M']"
"['A', 'G', 'I', 'M', 'Q']"
"['D', 'H', 'J', 'P', 'Q']"
"['D', 'F', 'M', 'N', 'P']"
"['A', 'B', 'C', 'H', 'O']"
"['A', 'E', 'G', 'J', 'M']"
"['F', 'I', 'K', 'L', 'P']"
"['A', 'D', 'F', 'G', 'N']"
"['B', 'H', 'N', 'P', 'Q']"
"['D', 'J', 'M', 'O', 'Q']"
"['B', 'G', 'H', 'K', 'N']"
"['G', 'H', 'J', 'M', 'P']"
"['F', 'I', 'J', 'P', 'Q']"
"['C', 'D', 'G', 'O', 'P']"
"['D', 'I', 'O', 'P', 'Q']"
"['A', 'B', 'D', 'I', 'J']"
"['B', 'J', 'M', 'P', 'Q']"
"['D', 'E', 'F', 'J', 'P']"
"['H', 'L', 'M', 'N', 'P']"
"['D', 'E', 'G', 'I', 'K']"
"['A', 'C', 'D', 'O', 'P']"
"['F', 'G', 'J', 'K', 'L']"
"['B', 'C', 'D', 'I', 'N']"
"['A', 'G', 'I', 'K', 'N']"
"['B', 'D', 'I', 'K', 'Q']"
"['A', 'B', 'E', 'K', 'O']"
"['B', 'D', 'K', 'M', 'N']"
"['A', 'E', 'H', 'K', 'L']"
"['E', 'F', 'I', 'L', 'N']"
"['A', 'B', 'C', 'I', 'Q']"
"['E', 'J', 'M', 'O', 'Q']"
"['B', 'L', 'M', 'O', 'Q']"
"['A', 'E', 'H', 'N', 'O']"
"['A', 'F', 'N', 'O', 'P']"
"['F', 'G', 'K', 'N', 'Q']"
"['B', 'E', 'F', 'G', 'N']"
"['B', 'I', 'J', 'M', 'Q']"
"['J', 'K', 'L', 'M', 'O']"
"['C', 'E', 'G', 'H', 'K']"
"['A', 'C', 'H', 'J', 'N']"
"['C', 'D', 'I', 'J', 'P']"
"['D', 'H', 'I', 'J', 'O']"
"['A', 'B', 'F', 'P', 'Q']"
"['C', 'F', 'L', 'M', 'N']"
"['F', 'I', 'J', 'N', 'O']"
"['C', 'E', 'F', 'J', 'K']"
"['C', 'I', 'J', 'L', 'M']"
"['C', 'I', 'M', 'N', 'Q']"
"['B', 'D', 'F', 'H', 'K']"
"['D', 'F', 'G', 'K', 'Q']"
"['A', 'H', 'L', 'M', 'O']"
"['A', 'E', 'H', 'M', 'N']"
"['E', 'F', 'H', 'K', 'L']"
"['A', 'D', 'E', 'F', 'P']"
"['F', 'G', 'I', 'O', 'P']"
"['C', 'G', 'I', 'M', 'O']"
"['A', 'C', 'H', 'L', 'P']"
"['C', 'D', 'H', 'M', 'O']"
"['A', 'I', 'J', 'L', 'O']"
"['A', 'B', 'F', 'I', 'M']"
"['G', 'J', 'L', 'M', 'N']"
"['D', 'E', 'J', 'K', 'L']"
"['D', 'I', 'M', 'N', 'P']"
"['A', 'B', 'C', 'E', 'M']"
"['C', 'G', 'J', 'N', 'O']"
"['A', 'I', 'L', 'N', 'Q']"
"['E', 'J', 'K', 'N', 'P']"
"['E', 'G', 'H', 'N', 'Q']"
"['C', 'F', 'H', 'P', 'Q']"
"['A', 'I', 'K', 'O', 'P']"
"['E', 'H', 'L', 'O', 'Q']"
"['A', 'D', 'K', 'L', 'M']"
"['B', 'C', 'E', 'J', 'M']"
"['A', 'F', 'K', 'N', 'O']"
"['A', 'B', 'H', 'I', 'J']"
"['D', 'J', 'K', 'L', 'M']"
"['C', 'G', 'J', 'L', 'Q']"
"['C', 'H', 'I', 'J', 'P']"
"['C', 'E', 'F', 'M', 'O']"
"['B', 'I', 'K', 'L', 'P']"
"['B', 'F', 'K', 'L', 'O']"
"['C', 'D', 'F', 'I', 'O']"
"['A', 'B', 'I', 'L', 'M']"
"['A', 'C', 'E', 'L', 'Q']"
"['C', 'G', 'J', 'K', 'P']"
"['B', 'D', 'E', 'J', 'O']"
"['A', 'F', 'I', 'L', 'O']"
"['B', 'H', 'I', 'J', 'O']"
"['A', 'B', 'E', 'G', 'Q']"
"['H', 'I', 'L', 'P', 'Q']"
"['B', 'D', 'H', 'L', 'O']"
"['C', 'D', 'J', 'M', 'O']"
"['B', 'C', 'J', 'M', 'Q']"
"['A', 'D', 'G', 'J', 'P']"
"['F', 'J', 'K', 'M', 'N']"
"['A', 'D', 'H', 'J', 'P']"
"['B', 'G', 'L', 'M', 'O']"
"['A', 'E', 'F', 'L', 'N']"
"['F', 'I', 'K', 'M', 'Q']"
"['B', 'C', 'G', 'I', 'J']"
"['I', 'L', 'M', 'N', 'P']"
"['C', 'E', 'F', 'G', 'L']"
"['D', 'E', 'H', 'L', 'N']"
"['C', 'D', 'J', 'M', 'N']"
"['D', 'G', 'I', 'K', 'N']"
"['F', 'H', 'L', 'O', 'Q']"
